CODE_SEC;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
9101;29,83214719;28,9023395;30,4361809;30,41087893;30,644301;28,65569211;27,83316686;29,58983307;28,71816476;32,33951122;30,02267217;31,89837462;32,45173294;33,69697702;32,90169023;33,11854405;33,21598613;33,28159236;33,69036223;34,54840597;35,10823219;34,73510619;33,50383169;31,97911222
9102;31,29738501;34,90799806;34,33041835;32,08200647;31,19710687;31,64906216;31,44881867;32,22250455;30,78481029;32,67481874;32,44697661;31,68047205;31,00180061;31,43378758;31,64401184;31,71514034;32,03253592;32,03253592;31,27841746;31,49499122;31,78393868;30,65607985;30,67576903;32,06998675
9103;31,43841613;29,49130117;30,60796513;30,8760582;33,16400237;32,25676294;31,78249735;30,82885482;33,50986563;32,76864131;35,56006202;34,47708424;34,64529648;33,79680601;34,17166145;34,5077734;34,75305692;34,88592963;34,63417167;34,20786712;33,1059779;32,64766413;29,9026196;28,58171769
9104;35,54201454;36,14543938;33,02122879;32,25379217;34,54243658;38,85471567;40,50251551;38,25714268;39,70178313;39,39630883;40,62566432;39,08817679;39,26916546;38,91021477;39,70124415;40,03714409;39,85382811;39,85382811;38,53316469;38,70463819;39,2424483;37,59474674;33,9124362;39,78099788
9105;35,41163548;34,56537953;36,34252081;35,29016972;35,87403766;36,83655816;35,70444825;35,15164286;37,88062801;41,51612138;39,74757762;39,32584443;39,99791817;39,60761829;37,67321574;37,47666631;37,64599885;37,64599885;37,09408749;37,57653778;37,350297;37,09502518;37,8933138;36,18007098
9106;34,64935849;31,37365732;32,63753815;33,65732385;31,79364813;33,00873347;32,25336837;29,08637816;32,94314693;32,98503576;31,31733762;31,14942028;31,10619104;31,40626785;31,65376372;31,46115292;31,46115292;31,46115292;31,70567454;31,23873983;30,77574163;30,60365868;33,95329499;34,81014277
9107;33,78664213;34,14631587;32,32145189;31,13262719;31,90050663;31,3903657;32,3830971;34,63922016;36,46985972;35,43846861;35,79770968;34,92963639;34,69647293;35,1444986;35,08948258;35,00252217;35,00252217;35,4866626;35,30234685;35,30234685;36,01787633;34,82976694;35,17107817;33,52550966
9108;42,63516828;44,08689001;41,35317202;40,47851853;39,81041378;38,52064952;37,76170657;41,41817073;42,85430987;40,55089664;39,35306303;36,86055225;36,71086223;35,78443251;36,09030481;36,14677418;36,33889913;36,24995091;36,00545041;36,00545041;35,211546;35,29561501;37,99565261;38,92076797
9109;28,7771807;27,98603809;26,55783244;25,25968124;26,13446841;27,53543215;28,57198174;27,44014547;28,55466815;30,00230431;28,09950388;27,51937457;27,8954248;27,66358349;27,8620202;27,71829671;26,97147814;26,69606489;26,86726122;27,09213971;27,2624243;27,13454327;27,14282879;29,71741127
9110;32,34462089;32,55486606;33,38460403;33,36509532;34,60737979;33,7164441;33,59918757;37,21019895;35,61102707;33,10612249;32,0005129;31,50534499;32,40408597;31,53638073;31,7962915;31,73122009;32,26392286;32,26392286;32,36159671;32,00480636;30,97005181;31,13043363;31,89100137;32,39438153
