CODE_SECT;LIB;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
7801;SARTROUVILLE , HOUILLES , MAISONS-LAFFITTE;10669.3185864973;8826.01790427814;8547.669190957;8988.45704667828;10849.1210344039;10526.0351941063;9747.57541750753;12995.2275819393;13235.5594201971;16555.3152597611;18259.0622062456;18024.0076424979;18261.7645435767;20535.7269002328;20535.7269002328;20535.7269002328;20535.7269002328;20535.7269002328;20605.5349225845;20117.6046263293;18176.622958191;16463.0045157385;14283.5862181683;10073.4215846776
7802;CHATOU , LE VESINET , CARRIERES-SUR-SEINE;12024.789999478;12024.789999478;11729.8557798702;11698.7816102478;12046.3031421359;11173.0600585944;11447.45520938;9691.75857755995;10690.1917076659;11194.4867893643;11635.3171046565;11530.1192103701;11530.1192103701;10459.3324308187;10164.8776549343;10164.8776549343;10164.8776549343;10164.8776549343;11598.5768727333;11922.7031067206;11629.6510423557;11371.6151067544;10044.8643973446;11086.9587434433
7803;SAINT-GERMAIN-EN-LAYE , MARLY-LE-ROI , LE PECQ;22515.7015316498;21760.9271677828;21149.6625828559;21504.8064950306;21224.8117072783;19984.7562823303;21467.3650506526;18412.739614586;16165.4384034791;20086.4616951875;20712.8167498451;17953.5245240276;20437.0681209901;18872.9646795281;18872.9646795281;20068.75115567;20068.75115567;20068.75115567;20655.8320057953;20655.8320057953;21668.0744104404;20452.0885271295;22305.1404349825;23007.9082260517
7804;CONFLANS-SAINTE-HONORINE , ACHERES , ANDRESY;7791.35439787394;8142.69724262302;8004.68084095195;7144.27740973814;7797.8545272874;6467.13504167472;6314.38588349651;9500.84761846361;9195.0762762836;11302.3770355179;10683.659906228;11352.9405962429;11316.2334409834;11185.7173787923;11412.7602094293;11269.2231788086;11269.2231788086;11269.2231788086;11485.7689779746;11243.7772207082;10886.3348069598;9722.76982522368;8055.2064631866;8632.17049565501
7805;POISSY , VERNEUIL-SUR-SEINE , CARRIERES-SOUS-POISSY;26155.155824171;26704.0609201443;26797.675077327;28784.4494372133;26344.8133710537;25088.362212671;22566.4042255633;24580.0569705673;27029.2495651863;27130.8968625139;28696.6193280711;30218.0337157032;29506.6363459904;29302.5384458746;29605.5928159185;29605.5928159185;29881.5703732762;29881.5703732762;30066.7359319055;30066.7359319055;30262.3112056648;29206.4558730031;27255.8363209261;28044.0283096253
7806;LES MUREAUX , AUBERGENVILLE , MEULAN-EN-YVELINES;30796.5058243118;30676.617574928;28996.3130939668;27010.5709421562;26951.7720245976;25086.366257413;25065.4964660069;26958.449735886;30580.5648970235;32910.0908817434;32225.7238651041;31898.7370691823;32716.7122772802;33846.0265899677;34268.3492737559;34584.6319716215;34355.4459226409;34355.4459226409;34458.186802325;34458.186802325;34812.2390718084;33122.9931276226;30553.2540878564;29319.59273527
7807;MANTES-LA-JOLIE , MANTES-LA-VILLE , BUCHELAY;14772.7001276253;15757.5693560257;14934.0793230441;12932.1654421255;13848.5615386728;15194.6537568079;15688.2900811851;13154.7534591879;16650.8326484408;18783.5162702897;17536.4548309218;18847.7984708213;19229.3117640741;18876.5494659621;18876.5494659621;18925.7328394743;18925.7328394743;18925.7328394743;19254.0738034195;18888.5689588612;18310.0661416422;15771.9377611709;15079.0329621418;14320.8965887384
7808;LIMAY , MAGNANVILLE , ROSNY-SUR-SEINE;16129.0456390688;14838.1268543693;14299.3302738816;15652.3207484811;14814.2459210474;14007.1215012466;14278.6256475463;16666.0640097849;18215.4924012373;18977.6853940319;22225.4829048157;21471.6532645833;21194.2160166649;22489.8551446463;22489.8551446463;22886.7937213547;23115.9797703353;23329.2507041091;23533.3367606657;23222.4387259384;21530.0573131329;19430.9293487857;17702.0618653075;16800.4453740091
7809;PLAISIR , LES CLAYES-SOUS-BOIS , VILLEPREUX;16649.7443022542;15826.5062057537;14724.3352221857;14876.3636438143;16445.3951606102;16428.7823916237;15991.2427634419;15688.8730285038;17180.3599701825;18709.0858471166;21962.1655170073;21836.1206277949;22172.3196605898;21786.6603322819;21446.9426067577;22139.5041251541;22139.5041251541;22139.5041251541;21708.194561711;21708.194561711;21245.613317632;20616.7212551951;17850.8434299812;18069.7934553178
7810;HOUDAN , MONTFORT-L'AMAURY , GAMBAIS;5275.85688887404;5222.0735634988;5449.29823421331;5461.76801918421;4933.28758895648;4975.03689846945;4991.31984706351;5541.86295905662;5849.85886137379;8078.24931801258;9199.19255359745;9510.12836049747;9510.12836049747;9510.12836049747;9510.12836049747;9510.12836049747;9510.12836049747;9510.12836049747;9059.52972208481;9059.52972208481;8762.45829416552;8017.23558407768;6221.88012009243;5448.60325776198
7811;LA CELLE-SAINT-CLOUD , SAINT-CYR-L'ECOLE , BOIS-D'ARCY;11514.7385448159;12330.5839208347;12064.915899793;14011.9347368204;12357.091320363;12316.5604039575;12974.3533429516;12852.8975678821;14568.4484643276;16349.8261079696;17566.640993928;20746.6658661939;20514.2146656809;21775.1721990821;22431.2784195292;20731.4998802608;21209.2648502508;21209.2648502508;17888.1795574161;17888.1795574161;17888.1795574161;16918.7767016313;13968.2974870266;11602.9789068401
7812;VERSAILLES , LE CHESNAY , VELIZY-VILLACOUBLAY;41281.2959700218;43386.6738121735;44092.1034672357;40246.7819937996;43937.9397505018;43707.3266897472;40046.421512225;35088.276904251;31412.0946626538;30740.9443178914;32407.8606395088;31594.8632585124;29183.4160070828;28538.5467329879;27346.5361583602;27047.0247179577;26728.4163128955;26728.4163128955;27702.7209701647;27702.7209701647;27702.7209701647;27059.4452596887;30558.7929496931;37787.9161582694
7813;MAUREPAS , SAINT-REMY-LES-CHEVREUSE , LE MESNIL-SAINT-DENIS;8637.17605705377;8897.39598016039;9342.28800591348;9305.78619131148;8933.35618867325;7851.06953971703;7511.53790988439;7816.62954818271;10629.5426314483;12732.7519905883;13870.8250481037;14063.2971511622;13507.3006414286;13288.9543892348;13288.9543892348;13288.9543892348;13288.9543892348;13288.9543892348;13060.8647684943;13060.8647684943;12737.5196969995;12287.0635338646;9400.61108179663;9111.86960324259
7814;LE PERRAY-EN-YVELINES , LES ESSARTS-LE-ROI , SAINT-ARNOULT-EN-YVELINES;6330.36341557329;5360.19313867608;5791.77944470467;5917.12398977658;6452.08602518535;6078.46514923587;6284.52022659802;6432.17372862007;6937.19088820554;6846.77440785826;7834.56599259931;8444.24830906488;8502.74029706401;8468.06362505419;8468.06362505419;8256.3860746428;8291.06274665261;8291.06274665261;8257.47899377859;8257.47899377859;8048.31464569901;7976.5527420283;6556.81115273841;6449.03861392069
7815;RAMBOUILLET , ABLIS , SONCHAMP;9385.74142845907;8991.92814838928;9576.98601544207;9920.52792604557;9375.57251598087;9403.56518183021;9108.29656002068;8695.29163743623;10241.9583360889;11481.4429423522;11870.6060228651;11750.3225537267;11750.3225537267;11784.9992257365;11784.9992257365;11996.6767761479;11962.0001041381;11962.0001041381;11894.6387983025;11894.6387983025;11641.3162530793;10294.7371942557;8957.73338829577;9038.73110722377
7816;MONTIGNY-LE-BRETONNEUX , GUYANCOURT , TRAPPES;31829.4540649123;31183.998035424;31628.4955161845;30484.9990661201;33388.2313979469;35242.9119879649;37468.6551721316;36894.6690878128;34167.5045928124;32560.7224024786;34363.8900439172;34576.0888813345;35102.9465861393;35505.1379384807;35505.1379384807;35354.771121302;35354.771121302;35354.771121302;35312.884070103;35312.884070103;33531.1191852101;31640.4783530537;30904.0843880754;29892.4180926538
9101;EVRY , COURCOURONNES , BONDOUFLE;23432.9960403776;22879.5376679069;23851.2232180477;22729.6992005257;22956.4504367405;22185.0530867601;20155.4141925711;20852.1189595592;17653.5000775145;17929.6122077917;16500.5018711494;17389.781910486;17863.44195429;18637.9941726318;18296.2011876256;18476.5046528458;18629.8519253137;18772.6886260739;18927.8626279244;19588.9876880614;20129.1912536817;19546.0874640476;18391.9040159323;21537.484301091
9102;DOURDAN , BREUILLET , ETRECHY;11720.3024266504;12542.0066067508;12163.1368113561;11655.8563134847;10940.8749619798;11297.6575342943;10989.310302538;11471.6288645065;11757.9942929889;13471.0875329402;14015.8117499688;13653.6071920652;13436.5320075392;13905.886802997;14205.6031189034;14492.9757703525;14785.9887286435;14785.9887286435;14528.4268764141;14675.2712548104;14485.2300716754;13787.8183821206;12143.8887827222;11861.1645934585
9103;ETAMPES , ITTEVILLE , MILLY-LA-FORET;14414.7697191645;14126.9581924316;15036.9756340691;15005.2654634333;16078.0856884302;15500.3307920767;15701.5714465484;15256.3837305861;17385.1838016135;18536.862310682;22178.218283843;21702.8712925989;21527.1572892954;21233.6083230335;21425.8242529096;21425.8242529096;22084.3930057144;22358.2918769868;21858.7900652789;21326.4760611368;20212.5626608648;18355.3023980847;14642.2911203107;13880.7844541472
9104;SAINTE-GENEVIEVE-DES-BOIS , SAINT-MICHEL-SUR-ORGE , LA VILLE-DU-BOIS;11091.9332979278;10953.7318487546;9943.79631477163;10512.1325153931;11447.0513328992;11919.9490858283;14569.8947286612;13904.9260761437;14617.2219858839;18557.4030745931;20366.8751592067;20018.9698517796;19806.8297412668;19642.4898129731;20144.0509708366;20144.0509708366;19990.7036983687;19990.7036983687;19113.6536923207;19015.6629673135;19111.0983029688;17384.6522448119;12661.1792539563;12751.9534071647
9105;BRETIGNY-SUR-ORGE , ARPAJON , SAINT-GERMAIN-LES-ARPAJON;23001.2487637096;21965.3888389471;22143.9703531406;21345.4428902562;21922.9260818957;22643.2801234454;22155.9488656722;21203.5972839851;24672.8799238823;27372.3879320566;27966.4299671373;27889.5452014659;27876.4309960236;28639.8699804432;28501.8960052647;28296.8490931315;28501.8960052647;28501.8960052647;27796.1269644468;28328.2955012281;27819.6142370915;27066.6512164062;23175.6254132168;22060.8119675171
9106;CORBEIL-ESSONNES , RIS-ORANGIS , MENNECY;23105.5527494881;20823.8302680823;21241.4380865591;22464.5842834463;21897.8377187489;22111.5713158482;21703.8400392344;18418.6418804129;22007.7712403804;25007.3811399306;24424.452128072;25586.3882692398;25583.2499704782;25242.8089990585;25533.924902274;25533.924902274;25533.924902274;25533.924902274;25844.4480452883;25505.2181805916;24602.6598760663;22325.8873876028;25186.8349721154;24029.5819961779
9107;YERRES , DRAVEIL , VIGNEUX-SUR-SEINE;18651.2349643033;18662.5260919115;17659.9089963207;16939.8403149659;18248.2955498143;17455.8652118981;17495.2555801688;18593.6845866473;22453.9613998987;25168.6735559158;27181.1886817919;28761.9199463602;28795.9766025644;29358.2775117962;29881.1666653094;29881.1666653094;29881.1666653094;30521.8155190832;29734.9269427039;29734.9269427039;29512.2595378094;26554.6470694259;22644.8766369158;19075.165087982
9108;BRUNOY , EPINAY-SOUS-SENART , QUINCY-SOUS-SENART;17729.4738810718;17597.1182543561;16961.716153841;16791.508339815;17166.966732439;16351.4337418289;15784.7703922213;17388.9786114034;18971.6437868625;20030.6432697351;21087.1355934307;19887.5320681863;20252.8163345077;20157.0912606021;20387.8651881808;20387.8651881808;20558.0856738906;20558.0856738906;19853.4839625803;19853.4839625803;19019.2763180941;18075.931383353;16549.995319115;16222.2598012204
9109;SAVIGNY-SUR-ORGE , ATHIS-MONS , JUVISY-SUR-ORGE;15708.3677586419;15245.6250584463;14239.7278528789;12405.765528333;13118.0512319751;14059.2137082112;14719.0071604582;14930.4000905388;16428.7084089047;17501.1506553749;16566.8662779874;16929.7463033276;17524.6924766102;17185.7529060553;17185.7529060553;17364.5686658093;16723.9198120355;16723.9198120355;16993.5378408375;17302.9233360708;17101.0626931347;16475.2823307598;15904.701664761;15461.1811844686
9110;VIRY-CHATILLON , GRIGNY , MORSANG-SUR-ORGE;14918.0545331923;14667.2727715074;14833.0811229619;15168.8036330179;16032.3667576055;15065.0552686223;15464.0838394586;17646.1138320655;17462.4785633385;17389.1333226388;18603.7120881772;18242.1430397456;19246.3001811877;18931.2287708575;19099.4541779009;19099.4541779009;19572.8223966459;19572.8223966459;19716.113595369;19183.9450585876;18003.3693114556;17089.2040842644;15388.3996008016;15575.5722835836
9111;MASSY , CHILLY-MAZARIN , MORANGIS;20763.0564179715;22774.0868443218;22032.6377792315;21244.8242457248;21939.8784961363;22490.284534459;22111.9983716566;18337.117841944;14186.890968435;13607.5760665958;13009.0816403796;13974.0934208974;13719.4952984222;13719.4952984222;13167.548457072;13423.5555735167;13423.5555735167;13423.5555735167;13744.8209188451;14243.4344448599;15238.7611700836;16184.8758985785;16477.2939476126;21792.3677186507
9112;LONGJUMEAU , EPINAY-SUR-ORGE , VILLEBON-SUR-YVETTE;11415.7922194392;11800.2568159854;11554.0865995254;12097.3725892833;11863.9107667946;12250.9553764402;12588.4652314324;10312.3466887407;12301.5386370283;12368.3522531227;14258.1088283614;13201.3921856308;13941.7862868681;13749.6883967699;14570.5456833208;14391.7299235668;13918.3617048218;13918.3617048218;14179.488183104;14179.488183104;14179.488183104;13676.6757302122;12088.3352828227;11309.2360485414
9113;PALAISEAU , ORSAY , VERRIERES-LE-BUISSON;19476.1940062017;18433.352038536;18790.305877672;20622.5637849271;19265.8959700472;17329.4346143363;17203.1751207576;20682.3269415286;19112.3157567651;20818.4842975326;20384.8272250403;20750.7224768235;20701.2485730173;20646.9135986522;20035.9901173622;20035.9901173622;20035.9901173622;20035.9901173622;20380.9725389151;20380.9725389151;20275.5450621001;19004.9225583217;18323.7239736848;19192.3083065389
9114;LES ULIS , GIF-SUR-YVETTE , BURES-SUR-YVETTE;9058.82146710904;9239.50266026012;9496.22135978654;9593.46929393508;9301.82954441093;9236.32917481297;9252.5216563066;9287.08591211208;10716.1475861203;10321.5421592997;10624.895810102;9993.11395211418;9141.73635066967;9141.73635066967;9136.66056051922;9136.66056051922;9136.66056051922;9136.66056051922;9247.37803435238;9247.37803435238;9247.37803435238;8789.73298648931;7724.24297252199;7914.91367089167
9201;ASNIERES-SUR-SEINE , GENNEVILLIERS , VILLENEUVE-LA-GARENNE;21064.1832548396;23705.4619704708;22960.2865172282;21782.3955012878;22196.9449420227;19712.3096669083;20967.3330318438;20372.2398403392;16969.3951640674;18829.0526883992;19188.3957860535;18417.327382291;18558.2381160477;19078.2222392612;18952.2783145066;18952.2783145066;18952.2783145066;18952.2783145066;19020.7008467595;19154.9603980211;19554.6767736924;20843.0332189671;21546.4835047601;22620.6535922496
