"district","hour","cs1","cs2","cs3","cs4","cs5"
"9204","7am",13400.829,18679.424,23058.886,18265.077,15266.2628
"9205","7am",5979.66,13251.964,22272.704,23987.042,32592.1899
"9206","7am",10851.506,17233.629,13926.436,25731.338,22985.6687
"9207","7am",12061.875,6200.546,14835.053,22834.886,24529.0354
"9208","7am",10604.744,10691.448,14542.548,25952.086,25757.6902
"9209","7am",11832.099,14784.891,26731.485,36707.758,30084.0099
"9210","7am",12614.698,17087.114,17118.356,30999.258,35784.9374
"9211","7am",9033.882,14470.854,19655.617,14319.395,12238.2442
"9212","7am",6651.871,14419.987,15336.679,20054.514,16408.1275
"9302","7am",4639.155,11168.336,14742.262,8508.919,3781.8136
"9303","7am",26773.048,29110.086,17196.935,17321.781,9793.2815
"9304","7am",18875.973,32997.894,24498.263,18532.445,12261.4383
"9305","7am",14494.852,25360.045,14693.608,12268.766,6953.0392
"9306","7am",7684.626,20628.58,27101.406,21758.263,9821.5515
"9307","7am",22794.558,16409.783,14899.348,14256.645,2733.4895
"9308","7am",11346.156,19680.302,9957.931,7933.954,4209.4344
"9309","7am",18195.137,24411.694,20920.623,14543.165,5462.5238
"9310","7am",21646.038,28323.74,23180.938,15051.831,4601.7062
"9311","7am",29287.623,32775.428,25161.47,15882.442,5238.3001
"9312","7am",40999.008,49713.702,27741.237,24417.568,8986.8321
"9402","7am",12621.798,34022.739,17960.127,23123.383,11682.0461
"9403","7am",9846.823,31699.942,24209.231,25876.778,17731.9941
"9404","7am",10245.794,21938.813,13424.419,12957.369,6316.6995
"9405","7am",6776.537,14042.971,18102.519,18618.348,6452.1011
"9406","7am",12184.163,25554.485,13884.292,13821.244,6927.8651
"9407","7am",12606.17,22187.481,19181.974,28702.9,18680.4732
"9408","7am",6957.24,10821.832,12799.111,23632.06,14795.4465
"9409","7am",12304.719,20516.254,24605.017,42978.748,33244.5646
"9410","7am",6144.407,9843.073,12115.31,9452.842,4117.8906
"9411","7am",8833.429,12453.29,12404.113,7654.441,3717.088
"9412","7am",5061.327,9744.271,5500.28,7858.65,3937.9075
