"idsec";"ZONAGE_SEC"
"NICE_096";2
"NICE_098";2
"NICE_099";2
"NICE_100";2
"BORDEAUX_022";2
"NANTES_028";2
"NANTES_029";2
"NANTES_035";2
"LYON_211";2
"MARSEILLE_009";3
"MARSEILLE_010";3
"LYON_226";2
"BORDEAUX_056";2
"BORDEAUX_075";2
"LYON_501";2
"NANTES_104";2
"LYON_106";3
"LYON_107";3
"MARSEILLE_028";3
"MARSEILLE_017";3
"MARSEILLE_037";3
"MARSEILLE_038";3
"MARSEILLE_094";2
"MARSEILLE_085";2
"MARSEILLE_084";2
"MARSEILLE_087";2
"MARSEILLE_088";2
"MARSEILLE_089";2
"MARSEILLE_090";2
"MARSEILLE_091";2
"MARSEILLE_093";2
"MARSEILLE_092";2
"MARSEILLE_095";2
"GRENOBLE_124";2
"GRENOBLE_125";2
"GRENOBLE_126";2
"NICE_037";2
"NICE_038";2
"GRENOBLE_121";2
"LYON_205";2
"LYON_206";2
"LYON_208";2
"NANTES_024";2
"NANTES_032";2
"NANTES_046";2
"NICE_001";3
"NICE_002";3
"NICE_003";3
"NICE_004";3
"NICE_005";3
"NICE_006";3
"NICE_007";3
"NICE_008";3
"NICE_009";3
"NICE_010";3
"NICE_011";3
"NICE_012";3
"NICE_013";3
"NICE_014";3
"NICE_015";3
"NICE_016";3
"NICE_017";3
"NICE_018";3
"NICE_019";3
"NICE_020";3
"NICE_021";3
"NICE_022";3
"NICE_023";3
"NICE_024";3
"NICE_025";3
"NICE_026";3
"NICE_027";3
"NICE_028";3
"NICE_029";3
"NICE_030";3
"NICE_031";3
"NICE_032";3
"NICE_033";3
"NICE_034";3
"NICE_035";3
"QUIMPER_021";2
"MARSEILLE_018";3
"MARSEILLE_019";3
"MARSEILLE_011";3
"BEZIERS_117";2
"BEZIERS_119";2
"NICE_079";2
"NANCY_120";2
"MARSEILLE_032";3
"MARSEILLE_040";3
"MARSEILLE_044";3
"BORDEAUX_073";2
"MARSEILLE_007";3
"MARSEILLE_004";3
"MARSEILLE_005";3
"MARSEILLE_008";3
"MARSEILLE_001";3
"MARSEILLE_006";3
"NANTES_036";2
"LYON_101";3
"LYON_102";3
"LYON_103";3
"NICE_061";2
"NICE_062";2
"NICE_064";2
"NICE_065";2
