CODE_SECT;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
7710;46483.7479535029;46855.9517290352;47743.7850950038;45505.6665484066;44125.7440072428;42859.5768551478;43898.6130609726;43723.3256850028;44011.553820802;51406.8677336644;58450.0912655854;59994.7385005952;62001.7268823974;61813.1922393192;63391.8601567501;63181.0133854168;63770.2786852118;63384.8552122527;64830.3821114926;64883.4361117708;64941.9259516184;61327.6191349686;56813.4259084898;48752.6828349164
7711;66931.663021303;64280.3413855197;68199.0514647901;69070.0343728142;66515.0937170262;68244.60213871;65573.4889097695;70132.9535125835;70722.9871620134;80921.2149287672;79088.6292512335;80376.6613261111;80942.96311114;82035.4095843328;81000.9472539783;81310.5105576284;81091.8995450822;81091.8995450822;78534.8693625186;78343.2512804941;78368.4046900849;76188.785697318;67498.942667861;63241.024114845
7712;50897.0936352381;51200.7652037878;47698.7990551908;47722.4177381801;46381.1513483662;44519.8235763951;45103.7732993829;49389.7882488142;46553.6668986619;50929.5566580923;53540.9261594068;51637.5401636214;53422.6379487004;54526.0590090212;55301.8608439351;55301.8608439351;55301.8608439351;55126.0826021544;55395.8829288339;54800.0696418783;53687.3549412583;50811.1069405599;48247.8737638602;48668.1781128088
7713;24627.6754162566;26232.2405563055;24588.8052145437;23438.2028147957;24072.4696731866;24957.5134739608;25223.3407643318;25137.0800780219;26256.3602241238;27083.7735489435;28908.4654111801;29385.4657873971;29460.2423681553;29643.5475272844;29456.0382024514;29334.182290716;29630.6656266977;29631.7662713697;29491.7457496327;29247.9571074134;28445.7062101358;26314.7962919271;24885.9967756699;24893.3847845228
7714;55940.1837581302;54990.6682251805;55300.7090286383;55278.4494893998;56337.9132793958;59134.742103759;60270.4417314532;56844.8721175962;56808.167438198;59493.2604894158;64995.6138963177;65161.1962470977;65464.8258428424;66715.1976888004;66605.0145351558;66605.0145351558;66889.3918406105;66889.3918406105;66177.156278904;66463.4339769811;65162.7468369912;62654.7346674215;53490.0996772537;54373.7675334842
7715;27010.8692158104;27249.1804266514;27968.8953894218;28743.2390493927;28474.463876639;27074.9506517872;26953.7119337821;27677.3972022605;28434.9576640575;30839.4742690514;31893.7165859016;32751.8353287649;33149.4256196598;33215.716722578;33877.8731628485;34087.2177137021;34087.2177137021;34100.5990139833;34417.2474128971;34125.3230208327;33352.0639615226;30829.2455725806;28418.1178658013;28048.8199112159
7716;66457.3506652481;65934.144176475;66625.3442947797;62639.7305267647;66926.7685857049;65868.6044581949;68592.5365304557;68685.3984764069;67239.3554045153;69827.1920004988;73805.7218157717;75986.386240942;75754.7252264403;76621.5874285996;76926.4119690802;76014.3040784125;75966.7363619817;75966.7363619817;75204.545379407;74623.7605151592;72384.9719215099;67346.7587435496;57817.2041645625;65704.2925913966
7801;42746.8662510764;42102.4378658031;42959.3272636188;46447.9123331507;47667.4781531751;48300.0462555943;46314.4324715618;47612.8343552077;49548.8086289874;57592.843645915;68672.8087676858;72404.8899301506;73424.866982633;78489.1006785384;80987.7468317198;79123.0605481611;79980.842796575;79980.842796575;79056.9268215676;78568.9965253123;76628.014857174;73706.7322493916;61447.7819277837;45387.4820428437
7802;48895.677847172;42823.8156186462;42763.8413758114;46094.335812757;44310.6686627102;43242.8184212082;42685.7524508;42413.7069863903;48365.009198868;53296.367424934;55757.7371604336;60640.4184478978;61169.4096187539;60380.0355034315;61612.2531682563;63112.6577409318;63112.6577409318;63112.6577409318;63307.8082539876;63631.934487975;63139.658440109;59888.1131422618;52443.2126842733;47304.6377350608
7803;67624.9251472513;67858.9484045065;66049.6491111054;69140.6307103305;71365.976447238;73226.9639872305;69829.9100189781;66451.1694941992;68388.6613375964;77058.101727577;82846.0967594462;80246.4718260863;84010.6126002407;84488.6539947506;85224.5773783375;86195.353511706;87353.5149014633;87353.5149014633;89230.2945534632;89230.2945534632;89163.8665819645;83984.5095628234;75546.1303765869;65961.1023595149
