"district","hour","occ1","occ2","occ3","occ4","occ5"
"054","6am",3842.796,948.03052,252.9429,1574.9327,358.44995
"055","6am",2650.025,305.21636,302.2172,1130.0593,287.37755
"056","6am",2363.35,351.58512,564.1986,3500.5397,329.47404
"057","6am",2035.998,446.5012,130.5874,990.9837,247.25133
"058","6am",3724.772,638.47597,474.0847,1978.9131,344.16241
"059","6am",4111.572,559.22099,1050.5172,3632.2152,1055.06443
"060","6am",3460.375,494.3743,873.1531,1329.8682,387.65623
"061","6am",4469.342,814.35201,580.2187,2318.7741,1046.02444
"062","6am",5174.464,510.15239,827.8699,2088.2876,498.87948
"063","6am",2157.58,235.5953,141.8755,866.4964,92.1504
"064","6am",3988.945,419.34086,230.7342,2297.7427,425.58843
"065","6am",3803.145,569.32801,395.1356,2214.7911,324.2671
"066","6am",2982.954,503.47621,736.8325,1784.9408,622.32046
"067","6am",6096.616,517.40807,840.3474,2376.0469,823.52292
"068","6am",3513.496,451.5673,994.1934,2162.9946,425.16393
"069","6am",2511.405,159.01511,244.8922,1122.078,157.35403
"070","6am",6159.99,577.88634,883.6119,3094.3407,508.24156
"071","6am",4676.053,320.86293,915.8922,2623.498,1225.31061
"072","6am",3299.872,397.55154,748.1228,2053.448,536.36075
"073","6am",4139.346,502.44604,1659.8654,4068.2286,1157.06149
"074","6am",3349.874,290.24269,1547.4118,3524.6764,1299.85875
"075","6am",4092.449,907.1663,1641.5613,4050.016,1233.91642
"076","6am",1509.333,140.11765,942.923,2506.9141,353.53354
"077","6am",4037.536,157.43611,920.745,3065.1424,465.50958
"078","6am",4027.613,620.63779,896.1841,2611.5155,637.94036
"079","6am",5482.573,876.88887,252.9875,3389.0373,531.13851
"080","6am",2817.448,550.25037,624.6781,2488.6317,528.79617
"001","7am",2315.1965,3442.59163,812.281,424.4215,69.27096
"002","7am",1351.7955,1121.92048,477.851,554.0088,192.13476
"003","7am",6428.3672,2769.4003,1189.4617,1963.9985,578.47307
"004","7am",2057.5803,744.11094,510.1996,1089.2565,492.56616
"005","7am",2005.3636,1792.84798,547.1397,980.0341,196.41696
"006","7am",3737.9113,4614.2378,989.5717,1685.5955,477.12812
"007","7am",3112.9122,1098.24174,608.1767,1281.8471,397.12059
"008","7am",973.1975,249.22698,295.547,1038.4567,236.44323
"009","7am",5191.1457,3503.43991,939.4676,2095.4794,262.98253
"010","7am",2843.791,422.31274,519.8076,1357.596,133.44286
"011","7am",4074.1622,441.50664,1038.3787,1593.2028,522.83013
"012","7am",2955.3868,280.58777,927.0419,2966.7787,465.53475
"013","7am",3899.6969,569.37949,732.7219,1255.7679,462.07574
"014","7am",3691.9643,454.25182,946.4617,2512.1263,609.31335
"015","7am",1657.8609,283.24715,401.0686,1237.9963,208.13689
"016","7am",2347.3846,350.32167,210.9363,1537.9053,116.56799
