"district","hour","occ1","occ2","occ3","occ4","occ5"
"041","7am",49.13663,9.350677,5.050952,30.790683,5.6710623
"042","7am",44.75936,10.272096,9.520951,28.698378,6.749211
"043","7am",53.5412,3.700726,5.457868,31.932706,5.3674974
"044","7am",36.08609,6.783936,8.156879,44.932396,4.0407027
"045","7am",52.335,5.56941,11.188661,28.31165,2.5952812
"046","7am",48.17126,4.812594,10.71306,34.198229,2.1048525
"047","7am",56.07881,5.457864,7.827127,26.18963,4.446571
"048","7am",49.80136,7.834185,12.00288,27.140938,3.2206379
"049","7am",46.58167,3.496697,13.583194,28.890452,7.4479866
"050","7am",57.52382,4.335933,11.146652,21.342044,5.6515467
"051","7am",47.12109,8.313714,0,38.628366,5.9368314
"052","7am",55.12959,3.169095,2.656767,33.485018,5.5595336
"053","7am",38.09285,1.88954,10.597704,37.578156,11.8417448
"054","7am",56.67008,6.461362,3.616718,27.19018,6.0616608
"055","7am",54.03289,4.029006,8.13829,26.947085,6.8527261
"056","7am",32.43358,4.406332,7.867283,51.768375,3.524428
"057","7am",46.46398,11.163058,4.25115,30.07278,8.0490312
"058","7am",47.62176,7.860722,7.334658,31.858255,5.324605
"059","7am",42.64584,2.223536,9.987153,34.805001,10.3384668
"060","7am",45.89561,19.412922,11.842829,17.590749,5.2578942
"061","7am",43.92623,4.330875,8.652732,29.6946,13.3955598
"062","7am",50.09955,4.310446,11.345355,27.407867,6.8367805
"063","7am",58.58826,4.613901,4.743849,28.972786,3.0812058
"064","7am",53.15859,1.838699,3.770325,34.278041,6.9543506
"065","7am",54.55475,3.073656,5.782518,31.843662,4.7454098
"066","7am",38.84501,2.971638,13.736347,32.845444,11.6015645
"067","7am",54.50328,1.110503,9.283199,26.005678,9.0973413
"068","7am",46.3563,2.99618,13.056982,31.60188,5.9886542
"069","7am",57.81004,3.158828,6.355869,28.59134,4.0839264
"070","7am",49.87736,6.458971,8.868985,29.693365,5.1013199
"071","7am",45.79881,2.552185,9.928204,28.438525,13.2822771
"072","7am",42.90131,1.78008,11.602316,34.925035,8.791258
"073","7am",38.0683,3.26425,13.732333,34.509836,10.4252833
"074","7am",32.47636,5.070771,14.505942,35.028743,12.9181839
"075","7am",35.19182,10.22499,13.580526,31.871199,9.1314639
"076","7am",29.2085,1.724546,17.122921,45.524071,6.4199592
"077","7am",41.39129,0,12.567935,39.686688,6.3540873
"078","7am",43.13163,10.083676,10.113687,29.471677,7.1993339
"079","7am",51.09765,10.232803,2.439441,32.074379,4.1557308
"080","7am",35.95586,6.100114,9.938305,39.592843,8.4128736
"001","8am",38.21872,43.6257532,11.583605,5.078608,1.4933159
"002","8am",45.61901,26.7173004,11.584276,13.152355,2.9270538
"003","8am",49.3573,16.355397,11.590602,16.937681,5.7590231
"004","8am",42.16884,12.737779,9.642263,22.604663,12.8464602
"005","8am",33.56827,34.0986056,9.974203,18.7783,3.580626
"006","8am",28.78186,42.9480112,9.298167,15.115119,3.8568462
"007","8am",42.05986,13.6188192,14.259563,23.852865,6.2088972
"008","8am",31.23494,7.2833293,10.189823,42.700939,8.5909643
"009","8am",49.51982,27.5196251,6.398573,14.749463,1.812516
"010","8am",52.52244,8.2101239,12.292111,22.59412,4.3812061
"011","8am",57.70448,7.0151978,11.17568,18.545369,5.5592769
"012","8am",34.15276,2.1433823,14.617022,42.196583,6.8902513
"013","8am",66.12063,5.9481814,7.685963,15.474302,4.7709255
"014","8am",42.34805,8.0150947,11.100362,31.565767,6.9707222
"015","8am",38.61759,10.0524754,11.404464,34.403885,5.5215848
"016","8am",48.36742,11.0704564,4.698881,32.882906,2.9803317
"017","8am",37.71687,29.1828029,5.897258,20.65717,6.5458977
"018","8am",45.05601,10.0399266,19.50898,15.622958,9.7721289
"019","8am",48.63382,18.5694689,10.669623,14.547581,7.5795089
"020","8am",30.24327,5.1135856,20.533476,19.778251,24.331415
"021","8am",29.90486,21.0562345,16.724833,26.977206,5.3368649
"022","8am",36.88717,49.0556912,4.093179,7.865662,2.0983011
"023","8am",60.30692,24.9647052,6.298501,4.93397,3.4959034
"024","8am",36.22242,4.9001635,23.65643,19.056177,16.1648104
"025","8am",26.79083,67.1164226,2.236476,2.922127,0.9341472
"026","8am",46.33315,23.1240843,4.991774,22.070637,3.4803501
"027","8am",74.55994,7.9633927,3.95073,10.559013,2.9669245
"028","8am",57.90136,25.2723207,6.328913,10.045611,0.4517919
"029","8am",56.28249,9.4990609,6.854959,22.552042,4.811445
"030","8am",38.65608,22.1256011,5.299882,30.456728,3.4617112
"031","8am",45.5522,1.9206666,7.71903,35.850791,8.9573179
"032","8am",62.30409,3.4938235,8.157459,19.895339,6.1492918
"033","8am",44.09169,15.6405832,8.635273,28.577746,3.0547089
"034","8am",65.68664,1.9566123,6.622097,20.237606,5.4970444
