CODE_SECT;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
7812;46856.7399094785;47449.7111733055;50959.2992943253;48049.762042563;51178.5771763389;51962.5653462194;50133.6679465978;44494.8243386273;37796.8126416467;36257.1392276187;42756.8198144015;43154.5826973287;41844.9369016483;40736.6250826126;40021.513809144;39722.0023687415;39722.0023687415;39722.0023687415;38575.4186466509;38575.4186466509;38879.2843503798;36732.3447484823;39569.518968176;41620.9068397082
7813;4598.51106619108;4123.8259329301;4751.18041428655;5434.03198629603;4339.43878716387;4353.24718187949;4596.68250557137;5134.82054748131;6291.62785711959;7445.97078099603;8838.99461649693;8707.80299310923;8760.81443019493;8019.54254764607;7736.43663902707;8071.58852316732;8071.58852316732;8071.58852316732;8174.96154912963;8174.96154912963;7985.88032688123;6778.80732892825;4669.65356383126;4585.07084208193
7814;4788.31300712343;3503.92335870193;3492.97830475187;3466.41318761208;3699.60110265635;4053.61298102395;4136.27750116188;3766.55008342307;4252.12911121856;5764.57360729757;6105.16149027967;6775.8886572351;7059.70308633627;7059.70308633627;7026.66294306409;7026.66294306409;7098.56418703165;7209.79311771689;7293.57868542043;7293.57868542043;7169.620547231;6545.6773801567;5233.72475429856;4668.76055273655
7815;5438.36104371;6201.97000294065;6188.6606312735;6843.66321472377;6777.99421856928;6344.49831991499;5980.12636792797;5955.19299409612;6831.8520275162;7630.57516746041;8916.902539332;8938.11573142875;9890.47144349826;9890.47144349826;10100.8218872731;10100.8218872731;10100.8218872731;9989.59295658785;9674.1747012095;9674.1747012095;9674.1747012095;8630.41584735739;7363.10980457005;6748.18567134147
7816;27904.9588528849;28259.8165198708;28294.6686906868;26582.2528696712;27472.0456577256;27637.6728147344;30054.5767416194;30304.4908029771;27222.7120835975;24839.0084032368;25970.770491602;26724.4836023154;27174.4181835516;28246.6438025727;28029.7760045402;27879.4091873616;27879.4091873616;27879.4091873616;27517.201342838;27517.201342838;27517.201342838;25615.6713645547;27011.1636498201;25462.693573114
9101;18461.8774423808;18574.2435339065;19010.5092529552;16925.0383301258;17900.8505527282;19163.1909142234;17068.7449439672;17140.4044899121;15861.3813674089;15388.0717036757;14014.5651325468;13297.7172018421;13991.9239587901;14649.1897690843;14780.0910448358;14780.0910448358;14780.0910448358;14780.0910448358;14523.0578902444;14523.0578902444;14523.0578902444;14632.9473254477;13702.4131270015;15727.9146425229
9102;11415.3995662554;11107.2245786232;10372.2501436378;10718.1858181212;10823.7629651438;10211.7846170641;9982.67523385521;10059.5210104176;10820.5407814335;12492.0207500833;12820.0109934325;13333.7068424092;13739.0110407631;13739.0110407631;13877.0545417435;14184.2221930003;14353.1508728028;14353.1508728028;14435.9495406169;14435.9495406169;14262.1776042433;14438.4289487211;11748.2235318975;11943.370400111
9103;9571.04455184345;10739.6018421123;10762.9323684094;10064.3423130639;9564.57136215882;8744.64302869271;9724.35022842234;9500.85256031653;11548.8496326724;13066.2138848084;15056.5471838335;15129.7506189509;15194.3891603831;15405.3935589059;15572.8102948546;15403.8816150519;16355.4633261478;16629.3621974202;16031.3507117857;16031.3507117857;15307.9834888293;13835.3700298105;11173.5236924861;9792.58464560554
9104;5655.76461638872;5811.9045374955;5645.50173316016;6436.12035367467;5949.74447725064;6551.18772474362;6926.06613963682;6987.71360172427;7711.24110249842;10654.7101458275;12257.5792768119;13472.5265015201;13581.7820513214;13789.066705149;14151.4356045706;13725.7494463967;13725.7494463967;13725.7494463967;13501.8449759636;13725.7494463967;13456.3065216662;12151.3269677114;9616.73939351962;6138.98384305253
9105;13942.3898311936;13702.6666509494;13840.3475939784;13142.0581887694;12841.6082225806;12913.7220183622;13573.6731381305;14262.8252804916;13739.1312200995;13771.759734773;16182.8661568774;15302.2331676253;15686.0028012187;16374.9142696281;17611.4497971194;17876.1338740893;17876.1338740893;17876.1338740893;17709.6688440433;17709.6688440433;17436.8329479831;17209.2713618223;12132.757082081;13846.3572582396
9106;9454.35648102211;9796.14679555908;9086.49665185303;10268.6565980075;10963.6582685708;10734.3991745951;10987.0394276116;10287.1118348618;11532.6748496632;15045.818030447;15549.0199709665;16138.3715915088;15530.1164135392;14470.3443144838;14323.3873626006;14323.3873626006;14323.3873626006;14323.3873626006;14580.420517192;14580.420517192;14580.420517192;12500.6342756419;11069.569852923;10778.3837613864
9107;17626.6521322638;17190.6593892967;16284.7070866623;15922.0651468441;15531.6774003831;15724.8386242259;13986.5639049473;13320.2048289598;15369.4697698985;20935.9193545193;23465.2668849762;23798.148364819;23976.1295096255;24861.6650907809;25921.6856778333;26133.2502004269;26133.2502004269;26133.2502004269;25589.3983042538;25589.3983042538;24892.7454616502;22936.2402562697;18485.2374337754;16374.8788076761
9108;6942.91222773981;7317.91635485711;7063.70032052439;6477.61462028445;7239.99528006273;7258.3695186962;7019.22746800404;6892.82881682601;9294.52597169611;11686.9966359403;11874.7508035568;14302.3864098167;14807.3350494205;15397.6692420794;15397.6692420794;15397.6692420794;15397.6692420794;15397.6692420794;15141.3605303344;15141.3605303344;15026.2167689666;13464.4989882257;9326.18652722293;7487.75757325106
