SECT_EGT;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
9109;5989.8569642428;6122.14081601673;5765.68228132538;5956.53693025748;5892.98010381381;5935.16830462657;4975.38006001509;5313.02708429502;4938.21139757702;5558.44669566975;6610.92038909129;6498.1650169065;6362.50355292278;6137.90389431819;6604.49410084549;6604.49410084549;6604.49410084549;6604.49410084549;7127.83156832534;6994.14561027539;6903.31764572928;7233.45673676794;6584.06670758289;5488.88566925748
9110;2606.64137958156;2449.54025878857;2326.84999046317;2162.85855666896;2507.52246837873;1876.98256507229;1713.80583202509;1855.76132937307;1795.92978703433;1842.23787895856;2365.19879546934;2923.21091881881;2865.10543710511;2999.12896860415;2666.22472012681;2666.22472012681;2666.22472012681;2666.22472012681;2666.22472012681;2666.22472012681;2666.22472012681;2666.22472012681;3041.45210719537;2042.36593168988
9111;9275.79845871269;9957.9761236509;9804.50512436797;10341.3134745749;9712.49360906323;10178.0696968962;8930.33659066946;9733.6181375553;10250.9656796152;7571.03951371548;7509.54252972682;9099.93072612553;8995.43392714469;7367.06688994792;7790.45715690151;7790.45715690151;7790.45715690151;7790.45715690151;7790.45715690151;7790.45715690151;7790.45715690151;7105.45341027301;6603.76178322503;7831.9413429021
9112;4343.8041454394;4429.34264268276;4670.11955230052;4010.34345513116;4700.42937662203;6213.6325803125;6719.36234555097;5644.24141600932;5162.31558263853;5676.69819243636;6619.18173780388;6228.41448447126;6977.88006911779;6838.85128456686;6960.68969390166;6454.0386455339;6454.0386455339;6454.0386455339;6332.2002361991;6332.2002361991;6332.2002361991;5741.50801247121;5228.87400586262;4666.08055622032
9113;18744.3502784755;17744.5784189;16739.7003791996;16809.6811654165;16573.4532502604;15440.8108036121;16133.3506095009;15678.6531259256;12957.4577324436;12565.2983297354;11975.4704046133;11809.8549964348;12777.6569776836;13945.8381343981;14598.1158721147;14598.1158721147;14598.1158721147;14739.8404252365;14193.1126329129;14193.1126329129;14193.1126329129;13744.4236810597;13894.8288681201;13205.7409021752
9114;11110.3806491285;11513.7372212012;11800.1382277687;12123.1166470612;11663.4918275607;12019.9854083316;11250.7104973437;12244.6490333351;10528.226804161;11247.127967827;10999.3006966488;11390.5826114009;11494.4924910671;11753.7867912704;11900.6153131224;11900.6153131224;11900.6153131224;11900.6153131224;11884.8455493967;11884.8455493967;11884.8455493967;11633.5552932387;9773.30409111448;10246.2306091163
9201;9577.26403002318;10871.204564778;10059.0573839949;12963.6272007139;12190.4970016483;13795.7347562832;13254.1131045642;12927.9055438778;7669.34546957545;11203.6716984694;12735.3795716746;14102.5026767412;14042.6955149758;14954.3188188253;15406.141920275;15060.234236064;15060.234236064;15060.234236064;15060.234236064;15060.234236064;15060.234236064;15818.9012911021;13660.2998553198;8292.06716904891
9202;12647.4810559825;13123.9780362042;12795.0330840284;12172.4850467665;14081.3771993944;13192.4994583575;13445.1367630102;11118.0607275994;11428.8416562562;11721.3520393522;10804.1485409096;10777.8817984848;11003.506282819;11003.506282819;11282.8594905684;11628.7671747795;11628.7671747795;11628.7671747795;10999.8582554555;10999.8582554555;10999.8582554555;10999.8582554555;9203.10934136431;12522.6397936827
9203;33423.2515269724;33310.1632773866;34508.7279068354;34267.3292840163;32749.384933087;33024.3564416499;31957.0857978882;33237.0920680284;32094.7439921099;32755.7354180648;29982.5409566163;32816.2120933369;34228.0893902623;32687.1640526028;34140.3278750129;35124.0527806155;35124.0527806155;35124.0527806155;35414.0830169219;35414.0830169219;35414.0830169219;32700.9766336977;30384.099028014;26144.2251641746
9204;21167.946255419;21203.3402541616;21613.8036948528;20866.2911986415;22828.4504296289;23021.8139485383;23802.6231965652;22738.9110389421;21392.9565467219;16651.8345992749;15494.9306032254;15041.2608045827;14748.6155783987;14881.0469429923;15767.7582695121;15767.7582695121;15767.7582695121;15767.7582695121;15261.9473352861;15261.9473352861;15261.9473352861;15266.2627799882;15017.9684452423;16001.2003487744
9205;63362.6290177389;67961.515011818;66310.680553453;67663.9250990632;68585.3062292882;67471.5581481413;67538.0242538934;66762.8325782751;60272.4802873029;44644.3219902089;36409.4586597002;35328.3640588277;32982.0061562852;32667.8074651568;33060.3979570734;32464.5932668072;33041.0323562513;33451.4758772893;32716.9217086717;32716.9217086717;32716.9217086717;32592.1898884362;30129.2157410398;41870.0443388638
9206;17699.8725239699;19339.5076060366;18391.8463993756;18503.9560006658;19549.5128286542;19162.9026519811;18467.869715921;21198.4495914402;19142.0653546153;17543.355181536;22503.9716701317;19570.2154986835;20405.484498892;21362.3199080475;22639.6349938065;22984.7465898509;22984.7465898509;22984.7465898509;22984.7465898509;22984.7465898509;22984.7465898509;22985.6687453981;18196.8344632433;17541.0953095664
9207;18851.314636704;18158.2200536777;18019.486566834;18420.0970404786;18655.1607230698;17235.5265398187;18106.7360943348;17331.7193544;18650.4101298462;18958.2672716312;22296.2259911685;26295.3024399606;26409.5532395065;27075.3026584266;26407.6272339342;26430.8145479123;25984.694125998;25770.8299478645;25320.6880206899;25320.6880206899;25320.6880206899;24305.1151339359;22717.265765343;17154.7646119845
9208;21902.3727824333;20815.9503170166;19328.5595858026;18640.7901542506;19542.7254933733;20278.9263129038;19205.8221994548;19769.0674373499;20358.5028083545;24044.2475635682;23492.6979763716;25641.4339830945;26317.3671399968;26549.9664987693;27475.887162715;26389.821722655;26661.170140698;26661.170140698;25757.6902045051;25757.6902045051;25757.6902045051;25757.6902045051;23462.931404858;19625.3345948219
9209;28482.2987521559;28242.1650996752;29576.0931854797;28635.692333177;31108.0308091539;30133.3765462123;30083.108177272;31580.8864359855;33046.0421997448;32792.8818620534;29300.9300183361;28651.2615433444;28322.9539658535;28435.9473710055;28938.4555294258;29171.6256762919;29880.9382653038;29567.7102790636;29575.6159074856;30264.0337450661;30264.0337450661;30084.0099323927;25885.6255204639;24628.3236372672
