"district","hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"070","6am",857.03726,3162.4322,3439.7864,3570.7585,693.88241
"071","6am",1961.51764,2891.0621,3514.1561,1143.1589,338.27296
"072","6am",1174.39198,1441.4738,2895.7659,1274.0225,481.73656
"073","6am",2233.35311,2490.9366,3569.8891,2792.0423,756.84665
"074","6am",1784.15004,2595.6354,3116.4088,1511.5107,1038.6481
"075","6am",2320.89387,4034.9805,3313.6942,1667.3463,1034.66432
"076","6am",1081.72248,1526.8401,1516.0576,1414.0326,231.7387
"077","6am",465.03746,1225.2722,3042.7817,2523.1231,1488.58067
"078","6am",686.9187,666.7115,4754.0934,1745.2589,1087.19094
"079","6am",103.53861,1354.5489,5698.2938,2066.9807,1197.16818
"080","6am",96.55482,774.7668,3510.208,1383.4811,1443.1123
"001","7am",225.31127,952.6442,641.5038,1298.6618,1185.73302
"002","7am",421.41363,247.2367,436.0733,1072.8285,637.45743
"003","7am",610.91827,1354.286,3521.4014,3675.4586,2431.06183
"004","7am",949.20779,373.2975,1218.2431,1521.3109,651.44102
"005","7am",199.75416,320.4332,883.1959,1959.2785,1514.9654
"006","7am",612.27451,1024.6997,2095.7715,2630.6791,1771.74916
"007","7am",528.81817,363.8187,1435.7727,2084.9236,1230.10356
"008","7am",371.78678,233.0359,995.5322,891.6152,186.70973
"009","7am",479.72839,1384.8107,3240.0461,3759.4474,2252.09813
"010","7am",251.93217,1189.3127,1710.9655,1272.8846,666.4066
"011","7am",981.98459,2154.2665,2558.6748,1778.2996,269.06193
"012","7am",838.57373,1311.771,2590.4041,2141.5384,752.93616
"013","7am",697.40454,1170.2428,2756.7725,1824.5829,529.60473
"014","7am",1038.76731,1592.6707,3104.4068,1915.6637,603.98559
"015","7am",414.82701,224.6738,1326.5006,1161.3037,605.55445
"016","7am",224.2091,777.8454,1431.8896,948.6332,1069.80904
"017","7am",790.38994,701.1306,1562.642,2602.0296,1163.0715
"018","7am",1722.64695,3227.3894,2271.6095,1579.8397,771.96403
"019","7am",1382.26036,1654.116,1964.4494,1420.007,353.20848
"020","7am",2287.26291,1645.3561,1518.714,331.5231,188.28969
"021","7am",336.9795,753.9641,1106.2277,1095.4031,460.47956
"022","7am",879.14964,853.268,2565.3661,2083.2894,1116.44943
"023","7am",418.1761,833.995,2416.2307,2043.9362,651.54178
"024","7am",1193.55647,1404.9447,2208.5025,841.0421,315.04032
"025","7am",742.68117,655.8374,1943.1299,1493.2919,1199.04016
"026","7am",236.85533,736.6373,1516.9368,2010.9615,1222.11847
"027","7am",881.55959,1628.1243,1794.0975,1840.466,996.06835
"028","7am",124.50712,530.5291,3775.7691,2310.3056,1265.70209
