"district","hour","sex1","sex2"
"047","11am",3210.4263,3823.491
"048","11am",1455.9528,2231.4023
"049","11am",1585.5486,1732.9059
"050","11am",994.2753,933.3347
"051","11am",971.3345,1122.8509
"052","11am",1627.0398,1948.2455
"053","11am",2007.6255,2417.6856
"054","11am",3031.6623,1855.9162
"055","11am",1485.0007,1657.2026
"056","11am",3124.8902,3625.923
"057","11am",1376.1557,1427.9825
"058","11am",2261.3797,2700.843
"059","11am",3941.4568,5437.2906
"060","11am",3000.0002,4228.6639
"061","11am",3337.5642,3902.3516
"062","11am",2955.3642,2729.0901
"063","11am",1041.1776,1135.2659
"064","11am",1925.9829,2632.8188
"065","11am",2801.1152,2966.4115
"066","11am",2487.7003,2766.0005
"067","11am",3331.0138,3309.5738
"068","11am",3032.4373,3871.3306
"069","11am",1711.1787,1600.0072
"070","11am",5171.9512,5321.1763
"071","11am",3343.2349,5611.679
"072","11am",2979.0258,3467.2056
"073","11am",5308.8784,6856.5496
"074","11am",4293.6019,6237.5839
"075","11am",7536.8516,6268.7543
"076","11am",2691.6419,2282.1197
"077","11am",2856.6752,3518.6449
"078","11am",3756.7405,7200.257
"079","11am",4625.95,5561.6435
"080","11am",3041.9884,3007.4785
"001","12am",4259.2298,6131.75
"002","12am",3531.064,5600.811
"003","12am",6079.5917,7126.953
"004","12am",1871.8316,3103.066
"005","12am",2513.7226,2389.592
"006","12am",4679.5389,6595.932
"007","12am",2685.1018,2783.694
"008","12am",880.1286,1305.373
"009","12am",6173.1811,9561.992
"010","12am",2373.2163,2834.968
"011","12am",3347.6315,3933.919
"012","12am",3294.9545,3727.791
"013","12am",4060.0589,2831.212
"014","12am",3454.6606,4251.36
"015","12am",1317.7882,2152.21
"016","12am",1835.4319,2400.849
"017","12am",3508.7252,5172.663
"018","12am",4411.9763,4802.107
"019","12am",4216.3792,4878.296
"020","12am",3115.681,3514.926
"021","12am",2199.3918,1866.041
"022","12am",6571.1106,9249.112
"023","12am",4518.1646,5310.18
"024","12am",2493.3607,3619.627
"025","12am",9040.8534,9794.144
"026","12am",2561.3028,3164.372
"027","12am",6320.5503,5060.146
"028","12am",5393.6537,8113.092
"029","12am",3727.9359,3087.188
"030","12am",2165.3737,2637.56
"031","12am",3311.1724,3242.095
"032","12am",4413.8144,4372.468
"033","12am",5618.8877,6269.002
"034","12am",1412.105,1760.252
"035","12am",3763.3364,4143.33
"036","12am",2304.3772,2740.844
"037","12am",3628.632,3706.611
"038","12am",2200.3163,2346.108
"039","12am",1794.0815,1623.203
"040","12am",5683.6483,6167.351
"041","12am",2552.421,2945.974
"042","12am",947.1733,1608.829
"043","12am",3987.1574,3679.354
"044","12am",2038.0015,2712.428
