"district","hour","mode1","mode2","mode3"
"015","8am",15.6167819,59.93195,24.451272
"016","8am",18.7856198,62.42248,18.791896
"017","8am",31.8278134,45.95994,22.212245
"018","8am",19.3550091,49.70318,30.941812
"019","8am",19.4272044,55.48566,25.087136
"020","8am",20.9286852,35.50625,43.565066
"021","8am",19.8683301,55.71728,24.414393
"022","8am",21.7748659,52.32953,25.895602
"023","8am",14.9466718,68.45057,16.602757
"024","8am",12.9315702,61.92006,25.148365
"025","8am",30.6904886,40.04654,29.262974
"026","8am",20.0997259,54.20593,25.694339
"027","8am",7.1478125,81.54928,11.302908
"028","8am",24.7524274,51.18492,24.06265
"029","8am",11.9167894,71.02344,17.05977
"030","8am",18.2788652,71.27459,10.446544
"031","8am",1.0780357,64.87165,34.05031
"032","8am",4.7269839,79.68636,15.586659
"033","8am",12.7689545,72.14772,15.083321
"034","8am",0,88.8214,11.178605
"035","8am",5.5246329,77.28709,17.188276
"036","8am",4.7081256,77.17216,18.11971
"037","8am",0,80.01818,19.981821
"038","8am",2.7255804,84.62774,12.646677
"039","8am",11.2645807,78.85537,9.880051
"040","8am",10.9877761,73.71426,15.297967
"041","8am",5.2330351,79.81729,14.949677
"042","8am",6.0812802,75.89226,18.026457
"043","8am",8.2584409,79.40904,12.332519
"044","8am",8.9572095,56.53726,34.505526
"045","8am",8.5759184,69.40159,22.02249
"046","8am",5.4200737,66.45051,28.129416
"047","8am",1.786976,73.08953,25.123492
"048","8am",1.8514534,86.26179,11.886752
"049","8am",0.7632626,76.59346,22.643276
"050","8am",2.4987486,78.30231,19.198941
"051","8am",3.005879,80.00395,16.990174
"052","8am",0,84.31894,15.681058
"053","8am",0,72.80939,27.190611
"054","8am",2.400974,83.975,13.624024
"055","8am",1.2378408,76.43673,22.325424
"056","8am",3.3251527,58.77008,37.904771
"057","8am",3.3960109,81.89581,14.708179
"058","8am",1.6410247,81.38336,16.975612
"059","8am",0.9578159,66.24588,32.796302
"060","8am",13.3350608,60.82201,25.842929
"061","8am",0,76.40982,23.590175
"062","8am",1.5561829,81.19048,17.253341
"063","8am",1.7255626,80.85124,17.423199
"064","8am",0,64.4092,35.590803
"065","8am",4.7182238,59.44036,35.841416
"066","8am",0,69.23703,30.762968
"067","8am",0,74.87773,25.122265
"068","8am",0,66.34785,33.652151
"069","8am",0.5482575,70.55019,28.901552
"070","8am",1.3459405,69.61658,29.03748
"071","8am",1.7513311,72.26956,25.979104
"072","8am",0.4978131,75.97261,23.529577
"073","8am",3.1902155,44.1595,52.650283
"074","8am",6.5617588,63.50876,29.92948
"075","8am",13.4981968,72.62238,13.879421
"076","8am",3.8035073,63.73475,32.46174
"077","8am",0,55.564,44.435998
"078","8am",3.3137387,72.8126,23.873666
"079","8am",6.5436524,63.41836,30.037988
"080","8am",1.5165537,60.9879,37.495549
"001","9am",28.6942593,19.50714,51.798603
"002","9am",28.9464015,21.33001,49.723592
"003","9am",32.4115535,22.7969,44.791542
"004","9am",13.7771884,44.1182,42.10461
"005","9am",13.2489129,34.2654,52.485686
"006","9am",28.1216753,30.02081,41.857513
"007","9am",23.5314539,30.79546,45.673091
"008","9am",12.9211119,55.55038,31.528509
"009","9am",31.968207,41.4749,26.556888
"010","9am",26.4704883,42.57674,30.952772
"011","9am",13.7545431,69.69222,16.553235
"012","9am",18.3059664,41.82485,39.869186
"013","9am",8.9335045,68.49775,22.568746
"014","9am",11.8311679,59.95072,28.218113
"015","9am",21.0546909,56.28675,22.658557
"016","9am",18.2344083,59.01949,22.746102
"017","9am",26.3710451,49.00556,24.623393
"018","9am",14.3303508,52.43518,33.234472
"019","9am",19.7077719,57.86356,22.428665
"020","9am",17.6026667,37.74569,44.651642
"021","9am",19.7553945,58.96632,21.27829
"022","9am",22.1525564,58.94528,18.902165
"023","9am",15.7289796,71.83351,12.437514
"024","9am",14.2798455,59.01861,26.701545
"025","9am",32.5461039,36.97795,30.475948
"026","9am",17.9816913,54.9356,27.082712
"027","9am",6.6310546,82.86949,10.499451
"028","9am",21.9043374,56.62848,21.467184
"029","9am",10.833795,73.06338,16.102829
"030","9am",18.4019945,67.63497,13.96304
"031","9am",1.1557784,65.17677,33.667451
"032","9am",3.7396142,83.90357,12.35682
"033","9am",12.0266543,72.45964,15.513701
"034","9am",0,89.92638,10.073619
"035","9am",4.2590926,81.18587,14.555034
"036","9am",3.2616901,84.69073,12.047582
"037","9am",0,81.00011,18.999886
"038","9am",3.6261756,83.77542,12.598407
"039","9am",11.3073009,75.17137,13.521333
"040","9am",11.2152964,74.39772,14.386984
"041","9am",4.8091916,80.12122,15.069588
"042","9am",4.4607811,75.6829,19.856319
"043","9am",8.3217895,81.00672,10.671496
"044","9am",7.3167452,57.37141,35.31185
"045","9am",5.5092616,72.12243,22.368309
"046","9am",5.1750227,66.66468,28.160302
"047","9am",1.6591529,76.47141,21.86944
"048","9am",3.5509824,78.30414,18.144881
"049","9am",2.0872012,75.22477,22.688029
"050","9am",1.1500427,78.51782,20.332136
"051","9am",3.2690071,78.77158,17.959417
"052","9am",0,82.57908,17.420922
"053","9am",0,66.13458,33.865423
"054","9am",2.3407812,84.35731,13.301913
"055","9am",0,71.69372,28.306278
"056","9am",3.321375,59.45107,37.227557
"057","9am",2.0996602,80.89917,17.001172
"058","9am",2.2475878,78.94582,18.806587
"059","9am",1.8735228,64.52103,33.60545
"060","9am",13.4947312,65.26784,21.237427
"061","9am",0,72.31626,27.683744
"062","9am",1.7387665,74.69676,23.564473
"063","9am",2.1250628,79.34601,18.52893
"064","9am",0,65.22549,34.774511
"065","9am",5.5840931,61.01317,33.402734
"066","9am",0,67.70079,32.299209
"067","9am",0.7200307,72.81178,26.468194
"068","9am",0,67.17832,32.821677
"069","9am",0,76.36788,23.632122
"070","9am",1.2907893,70.36563,28.343582
"071","9am",2.695048,71.57198,25.732968
"072","9am",0.4708581,73.7,25.829144
"073","9am",2.4661521,44.73052,52.803325
"074","9am",8.1576833,66.57611,25.266209
"075","9am",14.1107311,76.13131,9.757954
"076","9am",3.9469222,63.07096,32.982116
"077","9am",0,55.15108,44.84892
"078","9am",3.6345909,71.5861,24.779314
"079","9am",7.3118672,62.6704,30.017731
"080","9am",1.4373609,64.65047,33.912168
"001","10am",28.1618782,19.13437,52.70375
"002","10am",32.4365404,22.01819,45.545266
"003","10am",29.9761435,24.30222,45.72164
"004","10am",11.1267717,44.16028,44.712953
"005","10am",13.2916974,33.06789,53.640417
"006","10am",25.6990143,30.82745,43.473533
"007","10am",26.5134335,29.76728,43.719291
"008","10am",12.6877096,60.12213,27.190161
"009","10am",31.1086268,39.77254,29.118828
"010","10am",22.5347586,48.4686,28.99664
"011","10am",11.7612535,71.33044,16.908309
"012","10am",18.2268471,43.44958,38.323572
"013","10am",8.7131775,68.74953,22.537291
"014","10am",12.240776,61.03703,26.72219
"015","10am",17.9424129,57.97201,24.085578
"016","10am",16.3249885,57.95351,25.7215
"017","10am",25.4595951,49.45616,25.084242
"018","10am",13.1752738,51.90259,34.922138
"019","10am",19.6976343,55.12473,25.177635
"020","10am",24.5401674,33.94935,41.510485
"021","10am",20.2468827,53.52854,26.224574
"022","10am",21.6074887,60.17415,18.218365
"023","10am",18.3362882,69.75377,11.909944
"024","10am",19.7137055,58.48576,21.800536
"025","10am",35.1380706,34.61528,30.246645
"026","10am",15.8069878,57.29634,26.896667
"027","10am",6.9868854,83.12418,9.888936
"028","10am",25.6144277,55.8683,18.517274
"029","10am",11.3909123,70.35754,18.251549
"030","10am",15.1992434,68.13916,16.661601
"031","10am",1.1781731,63.85236,34.96947
"032","10am",2.9014228,84.73573,12.362851
"033","10am",11.7946407,74.60361,13.60175
"034","10am",0,89.05821,10.941788
"035","10am",5.662269,80.44961,13.888126
"036","10am",3.0418784,83.317,13.641123
"037","10am",0,83.78638,16.213622
"038","10am",3.8681695,85.29588,10.835954
"039","10am",10.980059,77.07707,11.94287
"040","10am",10.5979694,71.78774,17.614294
"041","10am",5.3600335,78.35865,16.281313
"042","10am",4.6614043,77.87019,17.468403
"043","10am",9.2809895,81.29586,9.423146
"044","10am",5.4255429,58.04666,36.527799
"045","10am",5.0523405,69.38687,25.560789
"046","10am",5.0426674,64.08388,30.873455
"047","10am",1.5811976,72.45503,25.963773
"048","10am",1.5349287,83.61309,14.85198
"049","10am",2.1583287,75.92938,21.912291
"050","10am",1.1355211,78.78908,20.075402
