"district","hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"046","7am",5.1648665,13.386052,40.65471,26.47342,14.320954
"047","7am",4.3980769,15.33872,33.43985,40.214778,6.608578
"048","7am",15.7130675,21.061688,32.37526,23.287112,7.562875
"049","7am",7.1889846,14.970983,36.9747,34.952283,5.913047
"050","7am",6.8626063,23.181222,35.25268,26.168162,8.535331
"051","7am",8.6157321,14.465834,37.09407,19.554828,20.269537
"052","7am",8.6819947,14.48351,25.31811,37.538376,13.978008
"053","7am",16.1587198,15.366444,38.8332,21.816378,7.825257
"054","7am",8.9432493,28.909497,36.68434,19.336094,6.126818
"055","7am",6.2967615,14.567457,50.63128,14.213789,14.290713
"056","7am",4.8079324,13.511597,42.16724,28.928258,10.584976
"057","7am",12.897152,6.116297,28.49019,37.376034,15.120324
"058","7am",14.8733598,27.220626,25.87005,22.988062,9.047898
"059","7am",11.8887042,24.581002,38.58649,19.684611,5.259188
"060","7am",11.358129,21.464492,42.97142,15.10917,9.096794
"061","7am",7.4272621,28.214883,40.19689,16.12771,8.033259
"062","7am",8.3558529,10.778851,33.87937,31.373929,15.612
"063","7am",2.0378426,17.159041,40.76606,24.414286,15.622773
"064","7am",9.0002808,17.454651,34.72856,34.159195,4.657308
"065","7am",4.1807109,28.276021,31.50656,29.475714,6.560994
"066","7am",9.7376234,22.102794,30.51886,26.742388,10.898337
"067","7am",4.948271,41.172533,21.01199,27.062426,5.804778
"068","7am",12.6354884,21.692037,41.48033,23.007466,1.184678
"069","7am",8.7347933,21.528119,34.113,27.320343,8.303741
"070","7am",8.667727,28.093911,29.12912,28.777245,5.331998
"071","7am",18.7311241,29.556129,37.23062,11.683738,2.798389
"072","7am",16.7891084,20.84551,34.78794,17.823233,9.75421
"073","7am",19.0939256,18.607211,32.68878,24.100255,5.50983
"074","7am",19.410991,22.181112,28.34272,18.608864,11.456318
"075","7am",18.9799659,33.241169,26.84833,14.100949,6.829589
"076","7am",18.5723883,25.439531,28.57046,23.438836,3.978785
"077","7am",6.2003036,16.975661,33.77202,25.899217,17.152799
"078","7am",7.6907787,6.791715,54.44612,18.964233,12.107151
"079","7am",0.9949431,15.625664,53.32353,19.904806,10.151053
"080","7am",1.4891524,12.086153,46.16576,21.337249,18.921684
"001","8am",9.052854,14.982402,18.95555,28.04933,28.959863
"002","8am",11.202327,12.281673,25.4657,33.02572,18.024583
"003","8am",7.282526,15.109387,32.12623,28.89513,16.586725
"004","8am",20.832145,10.916623,26.89587,28.08853,13.266835
"005","8am",4.579592,8.608307,22.98217,34.33481,29.495123
"006","8am",8.250783,13.088227,26.74463,37.50512,14.411241
"007","8am",12.594151,8.217442,29.45707,30.73097,19.000368
"008","8am",15.168539,9.507636,37.13572,32.32625,5.861855
"009","8am",4.156753,12.726843,31.22033,33.27722,18.618856
"010","8am",5.631073,28.702539,31.18625,17.46154,17.018599
"011","8am",11.211872,23.860369,31.77055,25.31314,7.844077
"012","8am",12.743955,16.448482,32.94487,28.45225,9.41044
"013","8am",8.505182,18.462016,40.03898,25.8904,7.103424
"014","8am",9.819171,22.036242,37.35818,25.69514,5.091262
"015","8am",12.820103,8.904818,37.2354,28.25871,12.780962
"016","8am",5.937191,17.41267,38.24866,21.20831,17.19317
"017","8am",9.538901,13.873919,23.69042,35.14516,17.751595
"018","8am",17.988447,30.606845,24.44551,18.6265,8.332695
"019","8am",14.104635,18.447223,27.92145,28.74215,10.784539
"020","8am",39.551317,23.674505,24.22023,9.48094,3.073005
"021","8am",9.42975,22.935824,29.18556,27.28582,11.163045
"022","8am",9.878653,11.741852,27.26287,29.53922,21.577407
"023","8am",7.961148,13.628684,34.28852,32.77317,11.348472
"024","8am",17.504006,26.20765,33.30941,20.92106,2.057868
"025","8am",10.843939,7.985924,31.54084,29.61551,20.013786
