"district","hour","educmen1","educmen2","educmen3","educmen4"
"077","6am",1419.83761,2503.0938,3406.6854,1415.1783
"078","6am",1509.59491,3250.8972,2872.7733,1277.56402
"079","6am",1674.90804,4643.9471,2554.7532,1369.58016
"080","6am",1704.75335,2106.6472,1868.0756,1396.78692
"001","7am",99.07221,1133.0309,899.4368,2172.31411
"002","7am",0,539.1227,1324.6497,970.61922
"003","7am",432.7449,3454.8587,3884.1214,3944.95843
"004","7am",311.88819,1569.2189,1508.6325,1323.76065
"005","7am",146.32159,1153.0815,1558.9457,2105.96548
"006","7am",913.72827,1842.476,2273.4756,3105.49418
"007","7am",0,1117.2015,1979.4638,2546.77154
"008","7am",350.59423,658.3976,893.6829,776.00498
"009","7am",458.0338,3418.434,3388.4798,3851.18324
"010","7am",124.42046,2019.6768,1692.4723,1254.93188
"011","7am",214.38764,4855.5981,2090.4007,581.90086
"012","7am",674.12905,3625.5125,2139.4584,1196.12343
"013","7am",908.10681,3195.0397,1965.4934,909.96745
"014","7am",846.92602,3498.1065,2218.7473,1691.71416
"015","7am",130.99258,1189.3786,1419.0965,993.39189
"016","7am",329.67868,1518.7963,1239.3057,1364.60558
"017","7am",382.40068,2385.7179,1755.3746,2244.27488
"018","7am",2075.61909,3975.2716,2090.8706,1431.6883
"019","7am",908.87093,2500.1715,2265.1231,1099.87583
"020","7am",2589.97069,2498.6594,987.9471,65.03452
"021","7am",454.43988,1292.5775,1257.6091,748.42747
"022","7am",543.25801,2769.9199,1671.8379,2619.42278
"023","7am",381.50632,2134.9047,2110.11,1737.35876
"024","7am",891.2984,3703.1729,809.903,521.47623
"025","7am",194.04921,1794.2758,1523.8457,2521.80972
"026","7am",278.30317,1470.6778,1411.5605,2562.96802
"027","7am",397.94732,3464.964,1920.2022,1357.20222
"028","7am",447.4044,2662.5246,3059.5343,1983.20757
"029","7am",396.64674,2980.1114,2396.9,1214.88083
"030","7am",190.55056,1586.0221,1670.5737,1454.17842
"031","7am",1168.53277,2843.376,2166.0104,716.57117
"032","7am",375.06072,3546.2249,3145.6987,1103.00716
"033","7am",508.39978,5542.4892,2691.7812,1494.29096
"034","7am",189.21397,1020.7554,954.3155,506.09158
"035","7am",259.60544,4225.5985,1974.8691,1628.06956
"036","7am",229.58916,2250.5201,2200.8,1338.61277
"037","7am",425.0272,3833.0368,2354.0086,1414.39558
"038","7am",399.06743,1479.0372,1663.9678,831.30862
"039","7am",88.97998,1334.6939,1943.9509,846.396
"040","7am",653.21269,2951.8339,3093.2228,2820.97894
"041","7am",451.23772,2171.4151,1335.5646,1247.21987
"042","7am",205.56532,1185.5252,969.2122,652.15685
