"district","hour","educmen1","educmen2","educmen3","educmen4"
"020","8am",39.454193,41.62408,15.63273,3.289004
"021","8am",14.592698,40.87342,31.38066,13.153224
"022","8am",3.820649,25.80457,30.53062,39.844167
"023","8am",6.996488,32.93595,33.79801,26.26956
"024","8am",12.032812,61.40999,15.44612,11.111078
"025","8am",6.739445,24.02255,26.75003,42.487976
"026","8am",5.797426,24.98133,26.42849,42.792749
"027","8am",4.079174,35.45413,35.02047,25.446227
"028","8am",5.150085,33.95635,38.54657,22.346986
"029","8am",5.245866,40.22396,30.98492,23.545252
"030","8am",3.781504,39.41333,30.68274,26.122428
"031","8am",17.932352,41.07246,28.3118,12.683392
"032","8am",4.787364,42.66659,40.83918,11.706871
"033","8am",5.736404,61.07945,23.71017,9.473982
"034","8am",4.389587,33.06344,43.05172,19.495249
"035","8am",3.633027,53.4609,26.26487,16.641199
"036","8am",4.548692,38.25871,35.36895,21.823653
"037","8am",5.935216,53.87678,24.92153,15.266473
"038","8am",10.261833,27.4476,35.16759,27.122973
"039","8am",1.804786,34.49087,38.76383,24.940513
"040","8am",7.476252,32.35997,30.14433,30.01945
"041","8am",7.531848,41.12189,28.35841,22.987851
"042","8am",7.729066,41.78297,30.41438,20.073582
"043","8am",13.513849,32.63785,35.35642,18.49188
"044","8am",13.118086,39.91226,26.17953,20.790119
"045","8am",3.993984,68.28534,17.37568,10.344995
"046","8am",6.677595,54.35194,27.53585,11.434605
"047","8am",5.754006,42.53824,42.52178,9.185972
"048","8am",13.38624,39.35178,31.26005,16.001925
"049","8am",6.736286,59.11379,19.60759,14.542337
"050","8am",10.145396,51.23563,29.01293,9.606047
"051","8am",7.296669,53.33617,19.8817,19.485455
"052","8am",10.534605,43.11824,27.42028,18.926876
"053","8am",19.617538,47.61117,20.27623,12.495065
"054","8am",12.360637,51.70585,26.21237,9.721144
"055","8am",7.84595,42.77054,38.18538,11.198135
"056","8am",11.337114,45.5613,31.1474,11.954191
"057","8am",2.968878,39.12137,30.41359,27.496164
"058","8am",11.181047,70.2641,11.08664,7.468209
"059","8am",15.161365,54.5495,25.28403,5.005105
"060","8am",19.324193,47.79818,26.08479,6.792836
"061","8am",16.039621,54.21041,22.30397,7.445996
"062","8am",3.029257,50.15758,29.55245,17.260712
"063","8am",3.59152,42.77306,36.79376,16.841665
"064","8am",10.028756,44.19025,26.99063,18.79036
"065","8am",12.080036,52.47366,25.30097,10.145332
"066","8am",7.977528,55.23858,17.27527,19.508617
"067","8am",16.160048,54.86496,23.83788,5.137117
"068","8am",10.237841,54.7779,29.73034,5.253917
"069","8am",13.3901,50.7708,25.2123,10.626803
"070","8am",12.551612,53.17577,26.77196,7.500653
"071","8am",16.626654,63.03979,16.31885,4.014702
"072","8am",14.678876,54.03817,24.46336,6.819587
"073","8am",10.736933,53.60691,23.49854,12.157623
"074","8am",14.689241,51.71405,19.80317,13.793537
"075","8am",12.43742,59.55727,16.75268,11.25263
"076","8am",24.610526,54.18659,16.81484,4.388047
"077","8am",21.222475,30.71252,30.20689,17.858116
"078","8am",14.441396,39.89778,31.17678,14.484045
"079","8am",18.033943,45.2272,25.2606,11.478258
"080","8am",29.963795,28.2705,26.02906,15.736639
"001","9am",5.396212,25.0674,24.23076,45.30563
"002","9am",1.838779,25.81675,41.24668,31.097799
"003","9am",5.855513,33.96967,33.54683,26.627992
"004","9am",7.238427,35.38771,33.05398,24.319881
"005","9am",3.511467,32.18179,31.83187,32.474877
"006","9am",10.27371,28.14525,23.23998,38.341056
"007","9am",2.251699,27.47068,30.86891,39.408707
"008","9am",13.362823,27.38341,36.78742,22.466354
"009","9am",3.652799,32.34213,36.14691,27.858159
"010","9am",3.946901,44.24703,29.75526,22.050808
"011","9am",2.421793,56.33382,27.21785,14.026535
"012","9am",10.048763,49.62669,26.66662,13.657929
"013","9am",9.973342,46.40548,28.38899,15.232185
"014","9am",7.114323,49.0506,24.70424,19.130843
"015","9am",6.183637,42.80692,32.23237,18.777075
"016","9am",10.0784,33.93522,31.48885,24.497522
"017","9am",9.334747,36.19831,24.3797,30.087242
"018","9am",21.410177,43.68667,23.70009,11.203068
"019","9am",11.442904,34.05032,31.91926,22.587518
"020","9am",39.372045,40.09133,17.08496,3.451666
"021","9am",14.290217,40.58449,32.14015,12.985142
"022","9am",3.347656,27.21261,29.36549,40.074245
