"district","hour","resarea1","resarea2","resarea3"
"048","7am",4877.94177,202.31566,0
"049","7am",4259.19921,0,113.84103
"050","7am",2579.54467,55.79515,0
"051","7am",13.03104,2702.35481,0
"052","7am",4308.8325,24.41093,18.55674
"053","7am",5383.88154,0,0
"054","7am",5289.10376,377.19489,247.09638
"055","7am",4255.5115,40.50022,0
"056","7am",175.5583,6534.03795,30.93318
"057","7am",114.84797,2956.96681,0
"058","7am",406.42452,6150.33424,0
"059","7am",199.15741,10243.92241,150.19188
"060","7am",1051.30868,6349.81849,143.26724
"061","7am",7841.41831,159.59619,63.24531
"062","7am",7172.02369,124.97058,0
"063","7am",2873.64445,138.4722,15.50728
"064","7am",6165.40744,0,0
"065","7am",6843.05413,66.70137,98.53458
"066","7am",5607.27294,43.10973,46.37829
"067","7am",8646.74618,412.68953,64.76066
"068","7am",7192.88115,145.13365,0
"069","7am",3793.77902,66.3943,115.45401
"070","7am",313.60455,10101.68637,47.47763
"071","7am",119.59827,9239.8565,0
"072","7am",63.59414,6269.51097,0
"073","7am",119.73914,12264.026,39.01573
"074","7am",508.13253,9584.94376,134.08072
"075","7am",637.40225,12112.76136,80.35396
"076","7am",147.9884,5676.37012,0
"077","7am",7500.2369,0,0
"078","7am",9120.01118,74.86325,43.6206
"079","7am",10475.80198,67.10331,0
"080","7am",6517.65824,68.82892,46.97672
"001","8am",469.37815,986.71361,7289.43056
"002","8am",48.96102,780.82965,3737.49051
"003","8am",704.6456,1715.04163,11146.11349
"004","8am",291.73316,255.70997,4308.81581
"005","8am",327.07625,589.22383,4596.35709
"006","8am",523.46186,886.92889,9223.03134
"007","8am",121.37864,303.91656,5014.73347
"008","8am",0,81.61443,2450.24674
"009","8am",2037.38317,2803.68051,9668.18939
"010","8am",191.80259,633.40592,4549.97445
"011","8am",851.76923,810.70597,7002.01024
"012","8am",0,283.05242,6111.32118
"013","8am",686.06982,1323.45182,5803.69328
"014","8am",228.74013,403.21967,7621.94805
"015","8am",171.88622,65.80097,3148.13158
"016","8am",132.33588,583.92921,3300.13575
"017","8am",792.77715,951.00726,7119.75681
"018","8am",758.98704,795.17416,8660.62668
"019","8am",1533.2704,1669.13119,6888.13963
"020","8am",129.8114,91.14685,5606.19108
"021","8am",149.61843,45.21488,3245.12046
"022","8am",2133.69979,1881.63101,12408.38899
"023","8am",1165.72009,1834.77101,6776.2965
"024","8am",301.61515,427.65547,4978.05126
"025","8am",1297.6325,1594.73877,14067.50167
"026","8am",220.89181,392.04449,5016.79729
"027","8am",1845.74452,3000.74171,6976.54984
"028","8am",1177.94391,1783.16784,9011.91054
"029","8am",349.01545,5917.36044,1519.77258
"030","8am",811.60654,3758.17086,538.85089
"031","8am",5621.06122,369.54997,109.08033
"032","8am",6415.63988,1691.24846,1443.42452
"033","8am",701.2176,7798.87083,1135.37062
"034","8am",642.12182,2204.48857,500.34551
"035","8am",1040.98303,5385.10128,1691.04397
"036","8am",182.88132,4544.01716,320.46831
"037","8am",604.1114,6095.90514,461.09046
"038","8am",20.15669,3551.68925,421.31945
"039","8am",344.31346,2999.91189,216.88616
"040","8am",1308.75523,8861.40426,1232.07457
"041","8am",561.03665,3640.7814,713.3178
"042","8am",150.46886,2381.42029,153.79787
"043","8am",577.04677,5346.35421,1119.7087
"044","8am",3897.00495,573.30107,190.73685
"045","8am",147.88174,4012.19905,26.12605
"046","8am",170.14219,3787.72605,93.5003
"047","8am",773.95557,4696.80987,609.26754
"048","8am",4128.89945,227.91898,46.09082
"049","8am",3449.20793,63.71467,180.43025
"050","8am",1962.67234,0,95.57754
"051","8am",70.99298,2092.98611,52.88116
"052","8am",3605.86538,130.88688,135.76031
"053","8am",4523.513,0,40.16138
"054","8am",4175.281,596.47174,525.98411
"055","8am",3577.70602,146.66742,105.73452
"056","8am",258.64617,6233.85799,145.80815
"057","8am",127.14725,2639.19709,72.17634
"058","8am",406.42452,4946.7305,0
"059","8am",475.22871,9514.4781,249.89085
"060","8am",1345.90685,5996.7878,186.77289
"061","8am",6470.96121,351.38551,63.24531
"062","8am",5540.98281,279.84346,38.051
"063","8am",2099.84603,138.4722,135.36444
"064","8am",4808.51689,0,127.18223
"065","8am",6076.53041,66.70137,183.75562
"066","8am",5376.79032,36.72335,0
"067","8am",6689.98248,559.51532,183.99116
"068","8am",6565.36149,201.76223,72.92888
"069","8am",3411.63305,219.34975,255.77936
"070","8am",813.48345,8847.92272,47.47763
"071","8am",223.89298,8947.26094,66.21965
"072","8am",160.8221,6185.23147,115.298
"073","8am",225.94188,12038.30948,39.01573
"074","8am",701.05735,9409.14169,134.08072
"075","8am",1254.70652,12308.56789,80.35396
"076","8am",215.20261,5203.08876,0
"077","8am",6304.06644,32.50435,65.27096
"078","8am",9922.9734,189.13991,95.06255
"079","8am",10289.10631,86.69233,94.08346
"080","8am",5621.08667,68.82892,46.97672
"001","9am",699.45322,1767.35848,8461.05581
"002","9am",569.17332,991.20845,4487.92003
"003","9am",934.15236,1734.60677,11201.15278
"004","9am",414.19113,271.29605,3670.50522
"005","9am",329.82527,651.56777,4306.14677
"006","9am",766.10771,1162.07902,8772.9133
"007","9am",283.42564,301.4766,4560.02519
"008","9am",54.41388,142.47128,2173.95809
"009","9am",2140.95053,3103.96736,10058.26194
"010","9am",356.15137,758.95528,4366.00857
"011","9am",929.15674,872.81357,7217.16315
"012","9am",0,254.78941,5812.63789
"013","9am",797.13846,1554.92351,5469.40694
"014","9am",578.01731,520.24393,6947.94038
"015","9am",171.88622,65.80097,2570.99406
"016","9am",132.33588,682.29217,2862.69295
"017","9am",1115.00795,1413.96112,7314.04821
"018","9am",1044.77801,795.17416,8141.41711
"019","9am",1759.83917,1772.22382,7096.94248
"020","9am",81.35352,91.14685,4602.33907
"021","9am",294.16253,45.21488,2812.17612
"022","9am",2289.57782,2685.60961,11130.95232
"023","9am",1228.71992,2421.86277,6900.74132
"024","9am",343.15976,424.49855,5414.78261
"025","9am",1690.1153,2363.07157,16314.24168
"026","9am",252.15721,389.02489,5141.25303
"027","9am",2576.01363,3424.70199,6722.16778
"028","9am",1850.46725,2653.07239,9422.71865
"029","9am",456.92476,5632.45906,1840.20869
"030","9am",872.02907,3331.4559,506.77692
"031","9am",5175.47552,449.64047,109.08033
"032","9am",6610.11689,2378.98699,1714.87862
"033","9am",1386.33325,7972.75379,1465.49576
"034","9am",600.62012,2200.35181,491.65616
"035","9am",1193.05259,5456.67505,1968.92975
"036","9am",751.74461,3599.68932,419.99578
"037","9am",753.85433,6079.80481,461.09046
"038","9am",178.48312,3360.60506,689.83419
"039","9am",265.61407,2529.78325,466.15961
"040","9am",1669.99789,8986.74228,1333.72104
"041","9am",788.69229,3664.83193,801.70893
"042","9am",210.48952,2062.02163,153.79787
"043","9am",991.71075,4842.70641,1160.68184
"044","9am",3595.64881,425.04322,459.51941
"045","9am",129.0418,3574.77009,56.16168
"046","9am",194.64032,3443.96096,93.5003
"047","9am",1149.90984,4476.64167,864.63227
