"ID_SEC";"ZONAGE_SEC"
"SAO PAULO_2017_z364";2
"SAO PAULO_2017_z365";2
"SAO PAULO_2017_z366";2
"SAO PAULO_2017_z367";2
"SAO PAULO_2017_z368";2
"SAO PAULO_2017_z369";2
"SAO PAULO_2017_z370";2
"SAO PAULO_2017_z371";2
"SAO PAULO_2017_z372";2
"SAO PAULO_2017_z373";2
"SAO PAULO_2017_z375";2
"SAO PAULO_2017_z376";2
"SAO PAULO_2017_z377";2
"SAO PAULO_2017_z378";2
"SAO PAULO_2017_z379";2
"SAO PAULO_2017_z380";2
"SAO PAULO_2017_z382";2
"SAO PAULO_2017_z383";2
"SAO PAULO_2017_z384";2
"SAO PAULO_2017_z386";1
"SAO PAULO_2017_z387";1
"SAO PAULO_2017_z388";1
"SAO PAULO_2017_z389";1
"SAO PAULO_2017_z390";1
"SAO PAULO_2017_z391";1
"SAO PAULO_2017_z393";1
"SAO PAULO_2017_z394";1
"SAO PAULO_2017_z395";1
"SAO PAULO_2017_z396";1
"SAO PAULO_2017_z397";1
"SAO PAULO_2017_z398";1
"SAO PAULO_2017_z399";1
"SAO PAULO_2017_z400";1
"SAO PAULO_2017_z401";1
"SAO PAULO_2017_z402";1
"SAO PAULO_2017_z403";1
"SAO PAULO_2017_z404";1
"SAO PAULO_2017_z405";1
"SAO PAULO_2017_z406";1
"SAO PAULO_2017_z407";1
"SAO PAULO_2017_z408";1
"SAO PAULO_2017_z409";1
"SAO PAULO_2017_z410";1
"SAO PAULO_2017_z411";1
"SAO PAULO_2017_z412";1
"SAO PAULO_2017_z413";1
"SAO PAULO_2017_z414";1
"SAO PAULO_2017_z415";1
"SAO PAULO_2017_z416";1
"SAO PAULO_2017_z417";2
"SAO PAULO_2017_z418";2
"SAO PAULO_2017_z419";2
"SAO PAULO_2017_z420";2
"SAO PAULO_2017_z421";2
"SAO PAULO_2017_z422";2
"SAO PAULO_2017_z423";2
"SAO PAULO_2017_z424";2
"SAO PAULO_2017_z425";2
"SAO PAULO_2017_z426";2
"SAO PAULO_2017_z427";2
"SAO PAULO_2017_z428";2
"SAO PAULO_2017_z429";2
"SAO PAULO_2017_z430";2
"SAO PAULO_2017_z431";2
"SAO PAULO_2017_z432";2
"SAO PAULO_2017_z433";2
"SAO PAULO_2017_z434";1
"SAO PAULO_2017_z435";2
"SAO PAULO_2017_z436";2
"SAO PAULO_2017_z437";2
"SAO PAULO_2017_z438";2
"SAO PAULO_2017_z439";2
"SAO PAULO_2017_z440";1
"SAO PAULO_2017_z441";1
"SAO PAULO_2017_z442";1
