CODE_SEC,CENTROID_X,CENTROID_Y,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9
7801,2.168883688,48.94155592,11302.7384213665,11079.3415507919,13590.3640196714,13590.3640196714,13032.2585638962,13192.7009949234,13675.8548534737,12354.388909071,13520.6147285204,14710.8626182426,15422.9553970712,14931.9597393226,14074.1774909087,15264.4253806309,15264.4253806309,14565.1731486573,15422.9553970712,15422.9553970712,15422.9553970712,15422.9553970712,15422.9553970712,15422.9553970712,12269.5894405141,11079.3415507919
7802,2.148003521,48.90245418,6127.48238099012,5760.75557261235,6127.48238099012,6559.78205987164,5760.75557261235,5299.24335351952,5235.26929605951,4970.00873234227,5169.23271584325,6022.62279616681,5735.35257254379,6925.60046226595,6925.60046226595,5735.35257254379,5735.35257254379,5735.35257254379,5735.35257254379,5735.35257254379,6102.07938092155,6102.07938092155,6102.07938092155,6166.05343838156,5840.21215736709,6127.48238099012
7803,2.085927855,48.91792441,8419.56091826709,8402.78394243887,8572.3100764453,9380.35516048507,10807.023312762,10341.3079214838,10710.3976173993,10551.7927130286,9719.79470716715,10647.3361653958,10102.289207556,10407.6764277447,10407.6764277447,11229.9555363645,11229.9555363645,11229.9555363645,11229.9555363645,11229.9555363645,11821.6703019342,11821.6703019342,10742.9999257904,10999.3911933145,9766.42116055389,8228.60412183463
7804,2.074683664,48.98553793,9516.18405917325,10188.6232431706,9764.92784678813,8808.36014722857,8254.25469155688,7307.94863853926,8105.75531393459,8863.27646852712,9371.69436085943,8793.78783013095,9006.4402814719,9755.78583131915,10362.6663860057,10362.6663860057,10362.6663860057,10716.1302173853,10716.1302173853,10716.1302173853,10352.7895206115,10352.7895206115,10843.978375474,10115.4448811187,9842.45764067373,9516.18405917325
7805,1.973900742,48.92585319,9039.03704663218,8484.69359119953,8529.65624446692,8869.37768616619,9881.73347279567,9558.6252712976,9558.6252712976,9480.832355635,8444.15862358631,11479.4661312942,13019.6988425236,12472.8558255351,12472.8558255351,11650.5767169153,11650.5767169153,11650.5767169153,11650.5767169153,11650.5767169153,11110.907285389,11110.907285389,10556.8018297173,11507.6611985759,9808.45148637856,9378.75848833146
7806,1.860273937,48.96799222,18517.7001631256,18752.8592648408,18326.744832565,18682.3399401964,18424.0019778503,17917.757678311,17072.6387844456,18148.5519228092,18311.857570592,18413.0140927819,20173.0022191164,20789.1355829342,20572.2677849018,20876.4885016467,20876.4885016467,21127.896511033,21127.896511033,21127.896511033,21181.9691569503,21181.9691569503,20432.7683233566,18863.8760741974,18862.9909781612,19018.0833849895
7807,1.694177559,48.98724142,15952.1932384551,15420.5020017355,14443.7531829051,13582.277561194,13560.5667522117,14291.9790519776,15686.4515775387,15970.9084870187,15810.4991017688,16184.866605579,16227.3501990486,16392.2900581091,16774.0148868633,16774.0148868633,16774.0148868633,16774.0148868633,16774.0148868633,16578.439613104,16518.8529453989,16024.6082462275,15880.8958703768,14287.5049368913,14321.150869918,14534.8295895015
7808,1.634185968,48.9773926,13240.0507970522,13240.0507970522,14568.7721340889,14795.5931632901,15263.6242884076,15263.6242884076,13711.8526908582,13408.2053163614,14124.7061952642,17074.1873455746,17370.4257967267,17786.2207906837,17786.2207906837,17786.2207906837,17786.2207906837,17786.2207906837,17786.2207906837,17786.2207906837,17943.2456805658,17943.2456805658,17823.8543226292,16491.8194289019,15498.07701444,15791.122652886
7809,1.893132318,48.83413806,9318.18581111166,9067.39917656498,10114.0766039315,10154.1912342768,10870.0993107938,10905.4540474673,11695.9907483694,10314.1133387538,10250.5658233464,10564.7722442181,10640.5220790868,11945.5762986916,11945.5762986916,11945.5762986916,11945.5762986916,11718.9037129111,11718.9037129111,11718.9037129111,10608.4072547177,10876.4523142573,9837.73530641342,9107.62467441653,10239.4614042358,10420.2268510684
7810,1.700207854,48.79182776,2303.81878094653,2152.10649142935,2523.66026089782,2680.68515077992,2680.68515077992,2309.13138131146,2309.13138131146,2680.68515077992,2763.40860106768,2915.12089058486,2915.12089058486,2781.38590030777,2781.38590030777,2781.38590030777,2915.12089058486,2915.12089058486,2915.12089058486,2915.12089058486,2758.09600070275,2758.09600070275,2758.09600070275,2386.54223123428,2303.81878094653,2303.81878094653
7811,2.067785291,48.83955155,8678.87518969099,8678.87518969099,8131.24295304266,8040.23261265482,8155.38640585678,7545.4986290949,7234.78223348141,9556.27146508025,9215.35480913856,9033.8433843288,7966.22514057457,7966.22514057457,8419.84808624685,8419.84808624685,8419.84808624685,8419.84808624685,8419.84808624685,8419.84808624685,8419.84808624685,8419.84808624685,8748.06292997914,8057.02963509607,8750.22652276913,8175.92580688439
7812,2.137512482,48.7844345,11816.6671596871,12355.0452619429,12310.6171044352,13691.643052648,12935.7912789349,14346.7156815041,10852.8238788779,10855.8110490347,10861.7351690926,9320.6546859423,11927.7927361224,10916.7777685189,10916.7777685189,10901.3763787463,11401.9203579847,11342.8976967073,11342.8976967073,11342.8976967073,10680.343122267,10680.343122267,10680.343122267,10209.3613924935,9934.98049165984,10043.3643935496
7813,1.980123143,48.71535622,5406.9050199091,5406.9050199091,5485.69370881238,5202.75467895435,5155.36340941939,5704.83387411331,5375.75979999831,5528.61220468996,5352.41630072143,4339.16885849438,4761.45942360603,4703.77870431096,4703.77870431096,4703.77870431096,4703.77870431096,4930.45129009149,4930.45129009149,4930.45129009149,4703.77870431096,4703.77870431096,5196.61063977602,5465.03455621865,5948.32997250881,5701.75098656698
