"district","hour","cs1","cs2","cs3","cs4","cs5"
"9106","5am",17.794091,33.527823,20.340681,17.85807,10.479336
"9107","5am",14.489873,21.781293,24.196258,30.38063,9.1519455
"9108","5am",14.301145,21.356184,23.013149,27.093477,14.2360452
"9109","5am",6.182098,28.954272,32.640318,21.536044,10.6872683
"9110","5am",20.266347,35.201999,22.547685,17.116903,4.8670663
"9111","5am",18.070964,26.149662,22.006369,20.380542,13.3924617
"9112","5am",10.688245,21.231515,24.779936,29.975681,13.3246239
"9113","5am",7.856523,19.53021,20.741262,33.304521,18.5674846
"9114","5am",13.975911,18.968933,10.315813,28.156675,28.5826682
"9201","5am",13.274767,21.894991,27.257373,23.955864,13.6170051
"9202","5am",13.490717,24.887229,24.133057,23.82434,13.6646566
"9203","5am",16.720275,17.482361,13.011259,26.428921,26.3571845
"9204","5am",16.462449,16.966527,29.325103,19.121607,18.1243136
"9205","5am",6.170263,14.377818,21.484322,24.207818,33.7597792
"9206","5am",12.121275,19.63177,14.549874,28.648536,25.0485442
"9207","5am",15.781544,7.48291,17.72944,28.178498,30.827607
"9208","5am",11.94886,10.908574,17.16455,30.177279,29.8007366
"9209","5am",10.380086,12.406707,23.007896,29.951755,24.2535553
"9210","5am",10.638508,15.962863,15.102311,26.379128,31.9171905
"9211","5am",13.081777,20.447278,28.207873,20.580749,17.6823234
"9212","5am",9.381227,20.080697,21.717913,26.740182,22.0799812
"9302","5am",9.539511,29.110785,33.178706,20.845637,7.325361
"9303","5am",26.087499,28.981691,17.836203,17.790395,9.3042121
"9304","5am",17.886003,32.141141,22.392793,16.44582,11.1342426
"9305","5am",19.449093,36.526175,19.499792,15.891886,8.6330536
"9306","5am",8.758333,25.07782,30.34267,24.159685,11.6614919
"9307","5am",31.516578,24.831951,21.063171,19.117252,3.4710474
"9308","5am",21.948981,38.285139,18.084985,14.270441,7.4104539
"9309","5am",21.774591,30.661071,23.272166,17.512329,6.7798436
"9310","5am",22.28729,34.116469,22.93519,16.078115,4.5829358
"9311","5am",25.276024,31.52456,24.115595,14.505951,4.5778706
"9312","5am",27.410629,33.145547,18.624331,15.033971,5.7855223
"9402","5am",13.789383,34.248504,17.708376,22.995668,11.2580698
"9403","5am",9.731129,26.711823,21.71027,25.473461,16.3733165
"9404","5am",15.10136,34.781905,21.531599,19.655647,8.9294893
"9405","5am",8.748259,21.361982,27.323714,32.654733,9.9113114
