"district","hour","rev1","rev2","rev3","rev4"
"7707","7am",16.988455,60.29453,18.482414,4.234598
"7708","7am",18.690864,34.09846,36.420973,10.789698
"7709","7am",12.822442,49.4325,30.519697,7.225359
"7710","7am",11.371989,52.46682,22.43702,13.724168
"7711","7am",25.053075,50.01827,14.988304,9.940354
"7712","7am",32.727766,34.8806,23.06199,9.329642
"7713","7am",37.434155,31.97904,22.562839,8.023968
"7714","7am",24.177818,33.83128,31.789606,10.201292
"7715","7am",32.409917,45.88678,15.881143,5.82216
"7716","7am",21.183697,45.25111,26.380288,7.184904
"7801","7am",9.220813,34.03134,21.675046,35.072805
"7802","7am",12.450583,17.86022,29.827259,39.861941
"7803","7am",11.914391,21.2047,31.305698,35.57521
"7804","7am",15.340379,33.23744,30.20677,21.215409
"7805","7am",17.796476,33.32887,27.394573,21.480079
"7806","7am",19.685601,40.17524,26.909217,13.229947
"7807","7am",45.618304,23.95228,25.624017,4.805398
"7808","7am",26.550933,35.16852,27.802291,10.47826
"7809","7am",16.182064,32.86845,34.760226,16.189262
"7810","7am",11.126315,34.78932,32.064801,22.019566
"7811","7am",10.504763,23.24637,32.411598,33.837266
"7812","7am",8.296094,28.62909,27.155186,35.919629
"7813","7am",10.669814,26.77274,31.459803,31.097644
"7814","7am",9.947733,29.64193,36.822997,23.587338
"7815","7am",13.100372,40.85859,28.332222,17.708815
"7816","7am",15.337709,34.36716,30.488902,19.806233
"9101","7am",37.590364,33.91042,17.492662,11.006549
"9102","7am",13.000857,39.07033,28.056396,19.872416
"9103","7am",27.1009,34.93758,26.386289,11.575235
"9104","7am",18.965619,33.98128,28.99241,18.060688
"9105","7am",12.333787,41.92811,27.846992,17.891111
"9106","7am",27.201505,25.53579,30.584911,16.677788
"9107","7am",21.571605,29.98562,35.980862,12.461917
"9108","7am",19.039437,37.07557,26.579492,17.305505
"9109","7am",21.116029,35.41236,25.579743,17.891866
"9110","7am",37.81413,34.95857,16.955321,10.271983
"9111","7am",14.278674,37.25968,32.102737,16.358909
"9112","7am",13.446729,34.14097,35.377852,17.03445
"9113","7am",15.10908,34.47456,28.135401,22.280959
"9114","7am",9.056325,21.29373,39.534499,30.115451
"9201","7am",25.739342,35.47211,27.857012,10.931536
"9202","7am",27.433033,25.55795,28.447859,18.561159
"9203","7am",18.889658,26.23487,27.692967,27.182506
"9204","7am",23.968621,37.06873,25.487101,13.47555
"9205","7am",18.547097,19.74817,30.164732,31.540001
"9206","7am",15.47989,21.54353,30.612488,32.364095
"9207","7am",7.621526,19.62806,30.429538,42.320872
"9208","7am",11.902049,23.9506,29.24691,34.900438
"9209","7am",12.414491,34.47215,30.380491,22.732867
"9210","7am",11.17143,26.37758,30.308546,32.142445
"9211","7am",26.885681,40.21359,18.567845,14.332884
