"district","hour","occ1","occ2","occ3","occ4","occ5"
"7811","6am",58.59085,3.987912,3.323885,27.09194,7.005417
"7812","6am",54.81575,9.27474,4.340665,23.82364,7.745207
"7813","6am",56.68708,7.362685,6.459912,19.19751,10.292807
"7814","6am",58.64717,5.754168,4.083742,24.17888,7.336046
"7815","6am",55.45504,4.208653,3.881676,23.81352,12.641103
"7816","6am",67.79219,7.78074,4.944187,13.07076,6.412121
"9101","6am",59.67575,9.393608,8.700792,13.75049,8.479363
"9102","6am",60.48835,4.346088,4.229707,23.91184,7.024025
"9103","6am",59.97723,2.920351,5.80635,24.78987,6.506198
"9104","6am",60.16546,4.092796,3.517336,23.89078,8.333636
"9105","6am",62.31433,7.257572,5.597641,18.07466,6.755798
"9106","6am",55.32937,7.712069,6.850505,21.5144,8.593654
"9107","6am",56.65335,6.387611,5.772044,24.78213,6.40487
"9108","6am",55.52161,7.669709,5.861659,22.94278,8.004243
"9109","6am",59.9645,4.542661,5.649545,24.99345,4.849847
"9110","6am",55.00253,6.991059,8.008317,19.39303,10.605071
"9111","6am",61.0851,8.269452,5.509034,18.07245,7.063966
"9112","6am",60.07319,5.334233,6.138638,23.28867,5.165278
"9113","6am",58.90969,8.250199,4.853179,23.25594,4.73099
"9114","6am",53.92415,9.618629,4.46215,24.37566,7.619409
"9201","6am",57.48744,7.469522,8.367834,18.26238,8.412826
"9202","6am",58.40633,7.418053,8.185253,19.28873,6.701638
"9203","6am",57.84918,6.106826,7.132926,20.01188,8.89918
"9204","6am",59.49115,7.802385,8.102329,16.45309,8.15104
"9205","6am",64.76024,7.73784,6.375786,15.68862,5.43751
"9206","6am",63.05996,5.805211,5.320233,18.57662,7.23797
"9207","6am",58.60655,8.062375,4.561082,21.8058,6.9642
"9208","6am",58.46036,8.187724,5.793433,20.4418,7.116681
"9209","6am",63.39774,7.738804,5.863155,18.7824,4.217904
"9210","6am",58.17608,7.224293,4.953979,22.67066,6.974989
"9211","6am",58.95022,6.647131,6.659641,21.60347,6.139537
"9212","6am",58.29973,8.259915,3.841536,22.82327,6.775547
"9302","6am",54.89744,6.623422,5.035413,25.83872,7.605007
"9303","6am",52.24295,7.551709,9.867855,17.85338,12.484106
"9304","6am",55.92534,6.679998,11.1043,17.92709,8.363269
"9305","6am",49.666,8.885726,10.400126,19.1272,11.92095
"9306","6am",57.82076,6.649518,6.58973,23.50598,5.43401
"9307","6am",46.33141,7.058639,8.119436,18.86822,19.622288
"9308","6am",51.56995,7.150399,9.347246,20.09945,11.832947
"9309","6am",54.85949,7.20615,9.51385,15.90777,12.512739
"9310","6am",52.05812,7.38829,9.494667,18.48859,12.570339
"9311","6am",46.30886,10.568478,11.585897,17.95921,13.577548
"9312","6am",49.70349,7.917695,12.602109,15.07634,14.700373
"9402","6am",52.28116,9.487663,9.058174,19.29423,9.878779
"9403","6am",56.11431,11.317828,7.435812,17.81437,7.317682
"9404","6am",56.91393,7.330277,7.689879,18.53068,9.535241
"9405","6am",62.66845,6.118255,5.362979,20.09029,5.760029
"9406","6am",54.10978,10.479803,8.672474,18.86663,7.87132
"9407","6am",58.92255,6.757129,6.549428,21.04026,6.730633
"9408","6am",55.29237,7.157981,6.507269,25.23646,5.805915
"9409","6am",61.50086,6.606745,5.893641,20.62922,5.369534
"9410","6am",59.68699,8.970669,5.029278,19.79457,6.51849
"9411","6am",56.23149,5.989565,7.730598,19.59632,10.45203
"9412","6am",62.28728,8.457759,7.206004,15.59921,6.449748
"9413","6am",54.44615,7.599303,8.727315,19.2526,9.974636
"9414","6am",58.26594,7.818833,3.943176,21.27663,8.695417
"9501","6am",58.75128,13.850196,7.344623,13.02633,7.027575
"9502","6am",59.007,8.134344,6.971551,17.09533,8.791777
"9503","6am",60.72789,4.039646,8.177776,21.62997,5.424721
"9504","6am",61.39453,6.283871,3.382763,22.26079,6.678045
"9505","6am",58.96154,7.555383,3.210435,19.82306,10.449585
"9506","6am",52.90973,7.321095,12.989528,16.08441,10.695244
"9507","6am",46.38822,9.286982,12.184457,15.92801,16.21233
"9508","6am",53.3571,7.27681,9.306931,18.05953,11.999635
