SECT_EGT;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
7707;3180.69551291951;2964.80724351637;3180.69551291951;3115.08089951395;3115.08089951395;2959.69281437978;3115.08089951395;3115.08089951395;2288.54438570645;2439.71108627579;2177.51101129719;2410.20131726638;2410.20131726638;2410.20131726638;2521.23469167564;2521.23469167564;2521.23469167564;2521.23469167564;2521.23469167564;2521.23469167564;2521.23469167564;2370.22707767471;2137.53677170553;2782.93658155854
7708;6091.98083346579;6091.98083346579;7369.40420220114;8973.83463379529;9236.6651219111;8111.03179960563;8431.21967518965;7431.2344924454;7395.80741558459;6752.83043079297;10176.963453957;8868.54810805692;11322.2027301405;11843.0614149334;11822.8431599044;11696.1626248195;11874.9986582245;11874.9986582245;10973.32280594;10973.32280594;10973.32280594;9990.82037796475;9777.18553222832;6156.44501251702
7709;4000.72795971728;5442.26179172504;5952.70563876988;5515.81147996665;4094.32681043624;4786.62494477895;3308.39385710234;2772.50817918644;2425.61719736248;2347.84183050694;2520.87351437364;2857.34569333239;3057.33377155668;3714.00569839854;3714.00569839854;3714.00569839854;4034.02543565332;3834.03735742902;3824.12826103458;3824.12826103458;3579.84986038921;2999.0992807851;2561.67061368903;3657.74831792241
7710;5627.51580174212;5627.51580174212;5326.85252345106;4802.74558778716;4154.24013842874;3007.62018051606;3127.50513690532;3446.05303158326;3210.70343632457;4829.14271972226;7076.93010911668;8145.89322866814;8575.65025614418;8239.30336997059;9408.8170384452;9408.8170384452;9408.8170384452;9408.8170384452;9408.8170384452;9408.8170384452;9408.8170384452;8669.87207735462;9031.11768876324;5326.85252345106
7711;9648.62568828431;7985.70870972068;8589.11198876154;8434.00321680679;8172.6954498861;8422.94600006834;8054.5745842138;8927.98870999584;10389.403786332;10628.6353018499;10765.0253416205;12668.7323441887;12876.2813624671;12465.0263275897;12465.0263275897;12465.0263275897;12465.0263275897;12465.0263275897;12465.0263275897;12465.0263275897;12465.0263275897;11421.2810263386;10385.170797347;8647.01622593797
7712;6597.37645319635;6279.35830847592;5176.85527587745;6599.10513416245;6559.38485208554;5418.26038748135;6737.6193975668;8100.33544786928;6185.75501239742;7577.51829894752;8164.6360087935;7976.86442584145;8156.8050240962;8156.8050240962;8156.8050240962;8156.8050240962;8156.8050240962;8156.8050240962;8238.84424549458;8238.84424549458;8238.84424549458;7962.16038162279;5905.8014948967;4624.02042161304
7713;974.551822180906;1584.91575491271;1258.04931976091;1379.93054811043;1436.70314860072;1435.0216410781;1154.44023726537;1262.28617363182;1019.49921617619;1160.78692862567;1270.60616850463;1383.64538393888;1383.64538393888;1383.64538393888;1383.64538393888;1383.64538393888;1383.64538393888;1383.64538393888;1749.98317911069;1749.98317911069;1749.98317911069;1635.49176446107;1340.97175182984;1088.09702316148
7714;8717.18548203157;9494.04905136204;8983.15838960271;8946.81631461144;9330.74623126288;10737.9836614168;10491.9721230216;8745.20469396705;8395.34153020643;8815.85508360514;9847.64516476902;9664.92405682229;9552.47299333544;10067.0708271862;10244.4742187298;10244.4742187298;10244.4742187298;10244.4742187298;10244.4742187298;10067.5740727811;10067.5740727811;10148.3407980988;8940.96881589622;8809.99264251169
7715;1743.35547329836;1743.35547329836;1320.77641749106;1320.77641749106;1901.71677316418;1901.71677316418;1844.9441726739;1724.07811890022;1570.04071047324;1810.71535513656;1738.17846456348;1827.83163096178;1777.1083531365;1836.93989547524;1836.93989547524;1836.93989547524;1836.93989547524;1836.93989547524;1753.3709971851;1753.3709971851;1753.3709971851;1608.70539410199;1492.66404387452;1581.2702624543
7716;8526.95701639276;8947.12031763867;8216.62223961308;7462.65398386265;7849.92673866178;8669.66552580759;9126.805452171;7700.53138605358;6767.51898159519;7645.21919551118;5864.60024952775;5848.12513293666;5848.12513293666;5848.12513293666;6054.10351413386;6054.10351413386;6054.10351413386;6054.10351413386;6054.10351413386;6054.10351413386;5908.41252483606;5543.12612269892;4495.5543228856;7458.41030678407
7801;12379.9597486701;12846.6894543286;11981.9921316564;13008.8328925479;11806.9410405579;11956.0807325358;12118.6686309469;12062.9337778719;11852.0656804357;13861.2974648924;21071.0311933535;22638.3273695169;24713.7525362698;25802.5590971333;26000.787090433;26000.787090433;26000.787090433;26000.787090433;25591.0648006709;25591.0648006709;25591.0648006709;24776.2559514936;22140.5197625591;14450.3209917961
7802;17828.6826606052;15905.1568428924;15609.1544959802;16731.6715507702;16103.1164177256;16218.4534130688;15823.1926277671;14352.9410765618;15409.5187212087;18816.1232615328;20261.7637042092;24427.6970393676;23934.3581229227;25406.0186768738;25797.639080323;26133.3953241021;26133.3953241021;26133.3953241021;25664.8808337874;25664.8808337874;25465.6568502864;24860.045961075;21674.7057634206;16540.5729983858
7803;12855.5931550341;14096.1304486521;15182.3387598029;14441.6808978238;15756.8247247518;17816.6674554818;16146.1304020378;16097.7407569587;16740.4665502905;19055.5200996289;23257.5257578816;22951.6697312317;22961.2296998745;24441.5864133079;24441.5864133079;25020.4868203994;25490.2303725764;25490.2303725764;25526.8254457432;25526.8254457432;25526.8254457432;23113.9295820956;19533.7388675773;12860.5235164489
7804;5204.86608308051;4031.2688450169;2740.43281015028;2752.6154048123;3200.78431019888;3260.39988171134;3260.39988171134;4645.47428419577;4738.64049423295;9473.06539291309;10779.7106925177;11386.5928505216;10884.0560378417;11660.0988389714;12067.0625046712;12283.8007651527;12283.8007651527;12283.8007651527;11195.7936411685;11195.7936411685;11195.7936411685;10712.2403736508;8866.92338348434;5704.84149072991
7805;12787.1136638687;11383.2789648895;11454.1830152976;11454.1830152976;9727.57640143343;9570.60242690754;10250.92619934;11241.1382058923;9447.49885824829;9612.25615785869;12517.9536867604;10723.0544188905;10579.9814357136;14660.6478717899;14660.6478717899;14660.6478717899;14660.6478717899;14660.6478717899;15219.9349684873;15219.9349684873;15329.5821778205;14722.6737792094;13404.3723021376;10340.7292887051
7806;7949.43409368602;7949.43409368602;8000.58622396349;8258.49891994626;8768.90857135294;7959.3708764227;7224.67439603118;7147.23855500706;7411.48024051813;6654.43660532397;6781.18825492099;8510.40268582127;8656.26774200964;8656.26774200964;7862.54862178481;8167.80837139819;8734.37557010979;8948.23974824325;8381.67254953165;8381.67254953165;8381.67254953165;8605.94345916736;7969.40531965585;7277.60135741106
7807;3265.43770934128;2403.59714651534;3265.43770934128;3216.34226351958;3265.43770934128;3486.02766308443;3265.43770934128;2485.25120858121;2104.47068539523;2964.07994492482;2726.80370929941;3091.62546582028;2726.80370929941;2662.2492420439;2662.2492420439;2662.2492420439;2662.2492420439;2662.2492420439;2662.2492420439;2662.2492420439;2662.2492420439;2662.2492420439;2651.18014982994;3265.43770934128
7808;3520.31492961003;4382.15549243598;3520.31492961003;3744.07277596391;3067.13438483763;3190.80701357889;3282.87613366602;3494.45427775005;3816.72772708126;3663.56711398111;4200.49048990805;4113.10598130552;4513.85547501096;4811.09780105887;4811.09780105887;4811.09780105887;4811.09780105887;4811.09780105887;4480.4971818022;4236.66756233162;4236.66756233162;3745.58205530909;3323.71042546698;3860.60214436205
7809;11319.577034813;11413.1653685808;9834.51270405165;9285.37382649307;10260.2868946036;10209.7153493115;12324.1324268025;11360.6728444245;11568.4341369633;9921.52974448158;11161.5908429062;10934.2239112982;11265.4034739623;11077.8816202566;11356.2850989067;12480.4380885783;12008.3627609614;12722.4141331055;13014.8044383313;13014.8044383313;13014.8044383313;12060.17388725;11147.100390636;9897.37603761126
7810;3090.21227314325;2916.12914395187;2813.92735391329;3316.61820951797;3476.11486019508;3593.23270056631;3779.47414867418;3676.34521020241;4021.10872407797;4275.92777616231;4234.10707372565;4650.65321053079;4778.97331714631;4966.49517085198;5174.03957171212;5174.03957171212;5174.03957171212;5174.03957171212;4841.25190114575;4841.25190114575;4841.25190114575;4229.56151238357;3532.81290575728;3351.73069246542
7811;16451.4217664382;16500.8827439881;13798.9659506722;14988.4392729744;13870.3403108094;14093.300222479;17161.5723356425;17854.319433593;17678.7901948618;19969.0589738674;21528.4816042625;22972.2647136265;23264.0301331456;22549.1997330623;22549.1997330623;22549.1997330623;22549.1997330623;22549.1997330623;23785.9016934235;23785.9016934235;23785.9016934235;23785.9016934235;19306.5917671755;16608.4239062891
7812;52773.8984347989;53716.5655366311;53886.4112596407;53674.2947075363;52472.7527663383;51940.4546254986;51419.1349581949;48768.0679168903;51323.9880754185;44040.7828029691;49180.2386625579;52283.1802460944;51719.5815337968;50968.9535798932;51529.527016691;52282.7081032178;52754.7834308348;52040.7320586906;51835.5700574155;51835.5700574155;51835.5700574155;48618.2479879594;49306.8789123434;46874.3322154579
7813;5212.29651707055;6273.22831089317;6329.22161868597;6193.73979910305;6300.2524596175;5106.88497857923;4322.3104207631;4602.41978014551;6137.14427066265;5492.5066099833;7718.2606636943;8673.13184704674;8776.13671930096;7837.46801138023;7684.72067393228;8229.85999490666;8229.85999490666;8229.85999490666;7894.86225946671;7894.86225946671;7894.86225946671;7607.11424805417;6198.35640047659;5062.78211892488
7814;2631.98621911352;2335.03324450728;2390.93995454264;2246.53682073635;2083.2421337426;2136.2760613614;2469.54694241839;2267.93604916938;2916.55817721354;4045.90795392203;4146.20897773415;4445.79182146979;4617.70216544952;4682.25663270503;4852.20056949759;5006.59335822399;5006.59335822399;5006.59335822399;5006.59335822399;5006.59335822399;4948.19206776456;4894.70831681664;3990.36768010053;2632.84650844617
7815;3183.2670759363;2638.18569227362;2861.43177993114;3513.99643954349;3485.99834060793;2686.34738517834;2631.73485682974;2809.68842681474;2767.15523000837;3884.33985879559;4388.8330961298;4385.80715554437;5687.36808623765;5687.36808623765;5709.4458430486;5608.15390916531;5608.15390916531;5608.15390916531;5608.15390916531;5608.15390916531;5278.01481812665;5027.92604109348;4061.92160426904;3150.83383734915
7816;29838.9162333472;30248.2097856971;30171.2620671046;27497.2501856258;27584.9051137042;26817.5372517576;27549.8336067271;26672.6470282314;23445.000114968;23760.2865638747;21168.2437164272;20144.6989443709;20997.7357534716;21144.9996829098;20459.9428097304;20644.8415206142;20644.8415206142;20644.8415206142;20001.6915116524;20001.6915116524;20001.6915116524;20498.1732064315;20499.5302168825;23783.0067870331
9101;16077.8992179565;15503.5650115911;15503.5650115911;13759.9745491408;14789.3743383015;14994.8435708851;13851.7288667993;14082.7251962863;12244.580153263;9385.46435412761;8789.99377959372;8337.15428120199;8298.47708305312;8235.29860003653;8235.29860003653;8235.29860003653;8235.29860003653;8235.29860003653;8235.29860003653;8235.29860003653;8235.29860003653;7859.32708243405;8052.55520396421;11631.2619340854
9102;5658.33214466587;6025.6362648058;5665.79399480492;5993.04390518568;5533.17618618877;6685.45276228371;6458.1826297669;6326.15086581848;7214.31784684763;7794.00843797986;8007.07512553164;8371.13788162134;8178.85587248242;8178.85587248242;8596.3325806321;8726.52937364559;8895.45805344813;8895.45805344813;9193.79058978421;9193.79058978421;9020.01865341055;8292.70521171947;6764.86906114973;6099.98792496554
9103;6457.67437089684;6604.88759874921;6560.70934814043;6362.29929548305;6514.4598963095;5787.6050733759;6321.37277262779;6441.05646808917;7119.09483729223;7580.42744067029;7687.56467640593;7798.63036006257;7510.6325960528;8495.57231055411;8176.65641902931;8007.72773922677;8007.72773922677;8007.72773922677;8489.73460095945;8489.73460095945;8313.98951977074;8079.91299795444;6015.65590104562;6730.53113974172
9104;4613.19191386961;5018.03291619108;4439.31751474635;4579.62604927732;4291.08430414271;3655.21744023568;3460.31866868268;3332.72254570853;4015.96776177729;6623.90884091508;6897.84564932859;7341.34170732812;7246.49624845188;7453.7809022795;7991.15941541813;7991.15941541813;7991.15941541813;7991.15941541813;7991.15941541813;7991.15941541813;7991.15941541813;7991.15941541813;6147.7506360926;4378.84894491094
9105;12505.723750536;11787.3734052812;11787.3734052812;11874.444692781;11735.280003812;11427.5567816878;10978.7506656889;11144.4798506906;10764.6944836081;8992.44001661437;9126.45424937765;8988.61358907613;8853.99227842416;10328.9154157439;11130.3181955815;10920.3307587474;10920.3307587474;10920.3307587474;10920.3307587474;10920.3307587474;10920.3307587474;10758.866100943;8677.2789920026;11505.9904831693
9106;7672.21362877822;7505.06618008902;6458.43048137001;8392.30636485092;7939.00766769886;8172.63249589322;9199.17012219661;8615.63118536411;7455.03477644951;9207.22662792098;10057.1413641279;11243.6121551586;11787.5441118573;10344.8464270145;9742.18613971647;10236.0397239088;10236.0397239088;10236.0397239088;10236.0397239088;10236.0397239088;9878.28862580158;7709.4197980771;7396.08234758751;6750.14314430207
